OP CODE,OP TYPE,DEVICE ID,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,CORE COUNT,DEVICE KERNEL DURATION [ns]
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,49244
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,258059
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1287644
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1368903
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,231473
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,173717
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,470759
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471774
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186910
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,429935
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1208462
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1344712
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,231469
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,175030
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,513482
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,136178
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85488
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85365
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2568061
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,48972
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,257689
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1232112
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1348028
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,231101
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,172952
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,470138
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471096
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186912
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,426896
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1201149
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1304757
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,229650
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,170985
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,513580
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,138070
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,84973
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85076
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2584524
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,48621
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,258877
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1186226
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1293050
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,228581
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,175093
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469900
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469130
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186917
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,427774
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1187453
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1332415
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,228699
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,177281
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,513517
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,137593
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85414
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,87473
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2567899
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,48136
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,258715
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1252624
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1307543
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,229809
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,172699
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469179
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469569
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186799
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,429187
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1188119
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1302701
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,213978
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,166461
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,511779
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,135931
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,83575
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,81969
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2581835
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,46784
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,256781
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1186461
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1274288
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,206226
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,159314
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469210
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,471026
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,186960
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,427423
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1224601
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1301443
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,227500
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,179356
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,512439
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,138061
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85136
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85210
WindowedScaledDotProductAttentionDeviceOperation,tt_dnn_device,0,0,1,110,2567753
NLPConcatHeadsDeviceOperation,tt_dnn_device,0,0,1,110,46841
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,257330
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1223444
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1296653
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,227852
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,171583
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469729
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,469919
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,187251
MatmulDeviceOperation,tt_dnn_device,0,0,1,100,430232
ReduceScatterDeviceOperation,tt_dnn_device,0,0,1,17,1218469
AllGatherDeviceOperation,tt_dnn_device,0,0,1,9,1334547
BinaryNgDeviceOperation,tt_dnn_device,0,0,1,110,233630
LayerNormDeviceOperation,tt_dnn_device,0,0,1,110,173250
MatmulDeviceOperation,tt_dnn_device,0,0,1,88,512432
NlpCreateHeadsDeviceOperation,tt_dnn_device,0,0,1,110,136767
RotaryEmbeddingLlamaDeviceOperation,tt_dnn_device,0,0,1,110,85447
