activation,dtype,role,method,degree,segments,max_ulp,runtime_us,ttnn_maxulp,ttnn_us,speedup_vs_ttnn,status,audited_result,note,csv,coeff_csv
mish,fp32,fastest_min_ulp,rational,13d12,1,5.0,6.39,2.0,5.94,0.930,fallback_min_ulp,loss,,mish_n13d12_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/mish_n13d12_s1_uniform_rational_ulp.csv
multigammaln,fp32,fastest_ttnn_ulp_match,poly,2,1,6168718.0,2.83,8301360.0,3.21,1.134,excluded_invalid_old_target,excluded,frontier/native rows were generated before multigammaln.json was fixed to the true p=4 target; rerun p=4 sweep before claiming,multigammaln_p2_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/multigammaln_p2_s1_uniform_any_ulp.csv
polygamma,fp32,fastest_min_ulp,poly,13,32,1084562.0,26.46,,,,fallback_min_ulp,incomplete,,polygamma_p13_s32_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/polygamma_p13_s32_uniform_any_ulp.csv
prelu,fp32,fastest_min_ulp,poly,13,2,0.0,2.94,,,,fallback_min_ulp,incomplete,,prelu_p13_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/prelu_p13_s2_uniform_any_ulp.csv
relu,fp32,fastest_ttnn_ulp_match,poly,2,2,0.0,2.88,0.0,3.02,1.049,ttnn_ulp_match,win_both,,relu_p2_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/relu_p2_s2_uniform_any_ulp.csv
relu6,fp32,fastest_ttnn_ulp_match,poly,6,3,0.0,3.0,0.0,3.06,1.020,ttnn_ulp_match,win_both,,relu6_p6_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/relu6_p6_s3_uniform_any_ulp.csv
relu_max,fp32,fastest_min_ulp,poly,1,3,0.0,3.0,,,,fallback_min_ulp,incomplete,,relu_max_p1_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/relu_max_p1_s3_uniform_any_ulp.csv
relu_min,fp32,fastest_min_ulp,poly,1,2,0.0,2.93,,,,fallback_min_ulp,incomplete,,relu_min_p1_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/relu_min_p1_s2_uniform_any_ulp.csv
rsqrt,fp32,fastest_min_ulp,newton_root,1,8,47.0,3.0,1.0,3.33,1.110,fallback_min_ulp,faster_less_accurate,,rsqrt_p1_s8_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/rsqrt_p1_s8_uniform_any_ulp.csv
selu,fp32,fastest_min_ulp,poly,9,4,14.62,4.26,11.0,4.4,1.033,fallback_min_ulp,faster_less_accurate,,selu_p9_s4_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/selu_p9_s4_uniform_any_ulp.csv
sigmoid,fp32,fastest_min_ulp,rational,9d9,2,7.0,8.59,2.0,4.58,0.533,fallback_min_ulp,loss,,sigmoid_n9d9_s2_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sigmoid_n9d9_s2_uniform_rational_ulp.csv
sigmoid_accurate,fp32,fastest_min_ulp,rational,8d7,1,8.0,4.74,2.0,4.58,0.966,fallback_min_ulp,loss,,sigmoid_accurate_n8d7_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sigmoid_accurate_n8d7_s1_uniform_rational_ulp.csv
silu,fp32,fastest_min_ulp,rational,10d6,1,4.0,4.89,2.0,4.62,0.945,fallback_min_ulp,loss,,silu_n10d6_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/silu_n10d6_s1_uniform_rational_ulp.csv
sin,fp32,fastest_ttnn_ulp_match,trig,9d1,1,1.0,4.0,1.0,3.41,0.853,ttnn_ulp_match,accuracy_match_slow,,sin_n9d1_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sin_n9d1_s1_uniform_rational_ulp.csv
sinh,fp32,fastest_min_ulp,rational,13d12,1,5.0,4.25,1.0,4.48,1.054,fallback_min_ulp,faster_less_accurate,,sinh_n13d12_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sinh_n13d12_s1_uniform_rational_ulp.csv
softplus,fp32,fastest_ttnn_ulp_match,rational,9d9,1,19.0,5.23,43.625,7.35,1.405,ttnn_ulp_match,win_both,,softplus_n9d9_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/softplus_n9d9_s1_uniform_rational_ulp.csv
softshrink,fp32,fastest_ttnn_ulp_match,poly,6,3,0.0,3.05,0.0,3.25,1.066,ttnn_ulp_match,win_both,,softshrink_p6_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/softshrink_p6_s3_uniform_any_ulp.csv
softsign,fp32,fastest_ttnn_ulp_match,rational,1d1,2,2.0,3.14,3.0,3.19,1.016,ttnn_ulp_match,win_both,,softsign_n1d1_s2_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/softsign_n1d1_s2_uniform_rational_ulp.csv
sqrt,fp32,fastest_ttnn_ulp_match,newton_root,8,3,1.0,3.05,1.0,3.29,1.079,ttnn_ulp_match,win_both,,sqrt_p8_s3_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/sqrt_p8_s3_uniform_any_ulp.csv
swish,fp32,fastest_min_ulp,rational,8d8,1,4.0,4.9,2.0,4.61,0.941,fallback_min_ulp,loss,,swish_n8d8_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/swish_n8d8_s1_uniform_rational_ulp.csv
tan,fp32,fastest_min_ulp,tan,9,1,17.0,4.0,1.0,4.64,1.160,fallback_min_ulp,faster_less_accurate,,tan_p9_s1_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/tan_p9_s1_uniform_any_ulp.csv
tanh,fp32,fastest_ttnn_ulp_match,rational,8d8,1,5.0,3.56,5.0,7.34,2.062,ttnn_ulp_match,win_both,,tanh_n8d8_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/tanh_n8d8_s1_uniform_rational_ulp.csv
tanhshrink,fp32,fastest_min_ulp,rational,12d4,1,227.75,3.66,0.5,6.71,1.833,fallback_min_ulp,faster_less_accurate,,tanhshrink_n12d4_s1_uniform_rational_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/tanhshrink_n12d4_s1_uniform_rational_ulp.csv
threshold,fp32,fastest_min_ulp,poly,2,2,0.0,2.87,,,,fallback_min_ulp,incomplete,,threshold_p2_s2_uniform_any_ulp.csv,/home/ttuser/tt-polynomial-fitter/data/coefficients/threshold_p2_s2_uniform_any_ulp.csv
