csv,activation,method,degree,segments,precision,bf16_maxulp,runtime_us,compiles,range
acos_p9_s1_uniform_any_ulp.csv,acos,poly,9,1,fp32,232041.00,3.22,1,[-0.99,0.99]
acosh_n10d1_s2_uniform_rational_ulp.csv,acosh,rational,10d1,2,fp32,171256.00,6.38,1,[1.01,100.0]
acosh_n10d3_s2_uniform_rational_ulp.csv,acosh,rational,10d3,2,fp32,2993.00,7.04,1,[1.01,100.0]
acosh_n10d5_s2_uniform_rational_ulp.csv,acosh,rational,10d5,2,fp32,8693.06,7.71,1,[1.01,100.0]
acosh_n11d1_s1_uniform_rational_ulp.csv,acosh,rational,11d1,1,fp32,367073.00,4.27,1,[1.01,100.0]
acosh_n11d3_s1_uniform_rational_ulp.csv,acosh,rational,11d3,1,fp32,22670.78,4.58,1,[1.01,100.0]
acosh_n11d5_s1_uniform_rational_ulp.csv,acosh,rational,11d5,1,fp32,1921.44,4.89,1,[1.01,100.0]
acosh_n12d2_s1_uniform_rational_ulp.csv,acosh,rational,12d2,1,fp32,48070.00,4.58,1,[1.01,100.0]
acosh_n12d4_s1_uniform_rational_ulp.csv,acosh,rational,12d4,1,fp32,9187262.50,4.91,1,[1.01,100.0]
acosh_n13d2_s1_uniform_rational_ulp.csv,acosh,rational,13d2,1,fp32,108379.00,4.74,1,[1.01,100.0]
acosh_n14d1_s1_uniform_rational_ulp.csv,acosh,rational,14d1,1,fp32,16668735.00,4.79,1,[1.01,100.0]
acosh_n15d1_s1_uniform_rational_ulp.csv,acosh,rational,15d1,1,fp32,27862577.00,4.90,1,[1.01,100.0]
acosh_n2d1_s1_uniform_rational_ulp.csv,acosh,rational,2d1,1,fp32,1567213.00,3.20,1,[1.01,100.0]
acosh_n3d1_s1_uniform_rational_ulp.csv,acosh,rational,3d1,1,fp32,1142832.00,3.25,1,[1.01,100.0]
acosh_n3d3_s1_uniform_rational_ulp.csv,acosh,rational,3d3,1,fp32,104777.00,3.46,1,[1.01,100.0]
acosh_n4d2_s1_uniform_rational_ulp.csv,acosh,rational,4d2,1,fp32,177346.00,3.48,1,[1.01,100.0]
acosh_n4d4_s1_uniform_rational_ulp.csv,acosh,rational,4d4,1,fp32,20467.00,3.70,1,[1.01,100.0]
acosh_n5d2_s1_uniform_rational_ulp.csv,acosh,rational,5d2,1,fp32,126038.00,3.59,1,[1.01,100.0]
acosh_n5d4_s1_uniform_rational_ulp.csv,acosh,rational,5d4,1,fp32,9852.00,3.82,1,[1.01,100.0]
acosh_n5d5_s2_uniform_rational_ulp.csv,acosh,rational,5d5,2,fp32,2058.00,6.05,1,[1.01,100.0]
acosh_n6d2_s1_uniform_rational_ulp.csv,acosh,rational,6d2,1,fp32,95258.00,3.69,1,[1.01,100.0]
acosh_n6d4_s1_uniform_rational_ulp.csv,acosh,rational,6d4,1,fp32,5626.00,3.96,1,[1.01,100.0]
acosh_n6d6_s1_uniform_rational_max.csv,acosh,rational,6d6,1,fp32,2684.56,4.26,1,[1.01,100.0]
acosh_n7d1_s2_uniform_rational_ulp.csv,acosh,rational,7d1,2,fp32,281515.00,5.40,1,[1.01,100.0]
acosh_n7d3_s2_uniform_rational_ulp.csv,acosh,rational,7d3,2,fp32,7505.00,6.06,1,[1.01,100.0]
acosh_n7d5_s2_uniform_rational_ulp.csv,acosh,rational,7d5,2,fp32,1081.12,6.71,1,[1.01,100.0]
acosh_n7d7_s2_uniform_rational_ulp.csv,acosh,rational,7d7,2,fp32,454949.11,7.38,1,[1.01,100.0]
acosh_n8d2_s2_uniform_rational_ulp.csv,acosh,rational,8d2,2,fp32,32393.00,6.05,1,[1.01,100.0]
acosh_n8d4_s2_uniform_rational_ulp.csv,acosh,rational,8d4,2,fp32,1118.00,6.71,1,[1.01,100.0]
acosh_n8d6_s2_uniform_rational_ulp.csv,acosh,rational,8d6,2,fp32,12846.31,7.38,1,[1.01,100.0]
acosh_n8d8_s2_uniform_rational_ulp.csv,acosh,rational,8d8,2,fp32,1155.69,8.03,1,[1.01,100.0]
acosh_n9d2_s2_uniform_rational_ulp.csv,acosh,rational,9d2,2,fp32,25467.00,6.38,1,[1.01,100.0]
acosh_n9d4_s2_uniform_rational_ulp.csv,acosh,rational,9d4,2,fp32,749.00,7.04,1,[1.01,100.0]
acosh_n9d6_s2_uniform_rational_ulp.csv,acosh,rational,9d6,2,fp32,2179.25,7.77,1,[1.01,100.0]
acosh_p10_s1_uniform_any_ulp.csv,acosh,poly,10,1,fp32,3430718.00,3.26,1,[1.01,100.0]
acosh_p11_s2_uniform_any_ulp.csv,acosh,poly,11,2,fp32,4387502.50,3.75,1,[1.01,100.0]
acosh_p14_s1_uniform_any_ulp.csv,acosh,poly,14,1,fp32,3430718.00,3.23,1,[1.01,100.0]
acosh_p1_s32_uniform_any_ulp.csv,acosh,poly,1,32,fp32,1792455.00,16.61,1,[1.01,100.0]
acosh_p2_s16_uniform_any_ulp.csv,acosh,poly,2,16,fp32,1731988.00,10.18,1,[1.01,100.0]
acosh_p2_s3_uniform_any_ulp.csv,acosh,poly,2,3,fp32,4470956.50,3.37,1,[1.01,100.0]
acosh_p3_s1_uniform_any_ulp.csv,acosh,poly,3,1,fp32,5671008.00,2.94,1,[1.01,100.0]
acosh_p3_s4_uniform_any_ulp.csv,acosh,poly,3,4,fp32,3031693.50,3.96,1,[1.01,100.0]
acosh_p4_s2_uniform_any_ulp.csv,acosh,poly,4,2,fp32,3640223.00,3.24,1,[1.01,100.0]
acosh_p4_s8_uniform_any_ulp.csv,acosh,poly,4,8,fp32,1552334.00,6.29,1,[1.01,100.0]
acosh_p5_s3_uniform_any_ulp.csv,acosh,poly,5,3,fp32,2454535.00,3.66,1,[1.01,100.0]
acosh_p6_s2_uniform_any_ulp.csv,acosh,poly,6,2,fp32,2706313.50,3.33,1,[1.01,100.0]
acosh_p7_s1_uniform_any_ulp.csv,acosh,poly,7,1,fp32,3511598.00,3.09,1,[1.01,100.0]
acosh_p7_s8_uniform_any_ulp.csv,acosh,poly,7,8,fp32,851800.00,6.59,1,[1.01,100.0]
acosh_p8_s4_uniform_any_ulp.csv,acosh,poly,8,4,fp32,1218805.00,4.58,1,[1.01,100.0]
acosh_p9_s4_uniform_any_ulp.csv,acosh,poly,9,4,fp32,998330.50,4.69,1,[1.01,100.0]
asin_n10d4_s1_uniform_rational_ulp.csv,asin,rational,10d4,1,fp32,533.00,3.52,1,[-0.99,0.99]
asin_n11d2_s1_uniform_rational_ulp.csv,asin,rational,11d2,1,fp32,2052.00,3.53,1,[-0.99,0.99]
asin_n12d1_s1_uniform_rational_ulp.csv,asin,rational,12d1,1,fp32,44300.00,3.41,1,[-0.99,0.99]
asin_n13d1_s1_uniform_rational_ulp.csv,asin,rational,13d1,1,fp32,26877.00,3.61,1,[-0.99,0.99]
asin_n14d2_s1_uniform_rational_ulp.csv,asin,rational,14d2,1,fp32,1019.00,3.66,1,[-0.99,0.99]
asin_n2d2_s1_uniform_rational_ulp.csv,asin,rational,2d2,1,fp32,470441.00,3.09,1,[-0.99,0.99]
asin_n4d1_s1_uniform_rational_ulp.csv,asin,rational,4d1,1,fp32,639730.00,3.11,1,[-0.99,0.99]
asin_n5d1_s1_uniform_rational_ulp.csv,asin,rational,5d1,1,fp32,273037.00,3.23,1,[-0.99,0.99]
asin_n5d5_s1_uniform_rational_ulp.csv,asin,rational,5d5,1,fp32,5173.00,3.32,1,[-0.99,0.99]
asin_n6d4_s1_uniform_rational_ulp.csv,asin,rational,6d4,1,fp32,5173.00,3.30,1,[-0.99,0.99]
asin_n7d2_s1_uniform_rational_ulp.csv,asin,rational,7d2,1,fp32,10594.00,3.33,1,[-0.99,0.99]
asin_n7d6_s1_uniform_rational_ulp.csv,asin,rational,7d6,1,fp32,531.00,3.53,1,[-0.99,0.99]
asin_n8d3_s1_uniform_rational_ulp.csv,asin,rational,8d3,1,fp32,10594.00,3.33,1,[-0.99,0.99]
asin_n8d7_s1_uniform_rational_ulp.csv,asin,rational,8d7,1,fp32,531.00,3.54,1,[-0.99,0.99]
asin_n9d3_s1_uniform_rational_ulp.csv,asin,rational,9d3,1,fp32,4440.00,3.43,1,[-0.99,0.99]
asin_n9d7_s1_uniform_rational_ulp.csv,asin,rational,9d7,1,fp32,715.00,3.64,1,[-0.99,0.99]
asin_p11_s2_uniform_any_ulp.csv,asin,poly,11,2,fp32,44315.00,3.89,1,[-0.99,0.99]
asin_p15_s3_uniform_any_max.csv,asin,poly,15,3,fp32,16797.00,5.39,1,[-0.99,0.99]
asin_p1_s2_uniform_any_ulp.csv,asin,poly,1,2,fp32,2176891.00,2.98,1,[-0.99,0.99]
asin_p1_s8_uniform_any_ulp.csv,asin,poly,1,8,fp32,485115.00,5.02,1,[-0.99,0.99]
asin_p2_s32_uniform_any_ulp.csv,asin,poly,2,32,fp32,28370.00,18.15,1,[-0.99,0.99]
asin_p3_s16_uniform_any_ulp.csv,asin,poly,3,16,fp32,26812.00,10.91,1,[-0.99,0.99]
asin_p3_s32_uniform_any_ulp.csv,asin,poly,3,32,fp32,23011.00,18.33,1,[-0.99,0.99]
asin_p4_s16_uniform_any_ulp.csv,asin,poly,4,16,fp32,16840.00,10.99,1,[-0.99,0.99]
asin_p4_s3_uniform_any_ulp.csv,asin,poly,4,3,fp32,639772.00,3.46,1,[-0.99,0.99]
asin_p5_s1_uniform_any_ulp.csv,asin,poly,5,1,fp32,273098.00,3.03,1,[-0.99,0.99]
asin_p5_s8_uniform_any_ulp.csv,asin,poly,5,8,fp32,31418.00,7.57,1,[-0.99,0.99]
asin_p6_s4_uniform_any_ulp.csv,asin,poly,6,4,fp32,35768.00,4.77,1,[-0.99,0.99]
asin_p7_s3_uniform_any_ulp.csv,asin,poly,7,3,fp32,137565.00,4.11,1,[-0.99,0.99]
asin_p8_s2_uniform_any_ulp.csv,asin,poly,8,2,fp32,137564.00,3.41,1,[-0.99,0.99]
asin_p9_s2_uniform_any_ulp.csv,asin,poly,9,2,fp32,75883.00,3.62,1,[-0.99,0.99]
asinh_n10d2_s1_uniform_rational_ulp.csv,asinh,rational,10d2,1,fp32,48558.00,3.42,1,[-10.0,10.0]
asinh_n10d6_s1_uniform_rational_ulp.csv,asinh,rational,10d6,1,fp32,784.00,3.64,1,[-10.0,10.0]
asinh_n11d4_s1_uniform_rational_ulp.csv,asinh,rational,11d4,1,fp32,2311.00,3.66,1,[-10.0,10.0]
asinh_n12d3_s1_uniform_rational_ulp.csv,asinh,rational,12d3,1,fp32,27600.00,3.54,1,[-10.0,10.0]
asinh_n13d2_s1_uniform_rational_ulp.csv,asinh,rational,13d2,1,fp32,16479.00,3.65,1,[-10.0,10.0]
asinh_n15d1_s1_uniform_rational_ulp.csv,asinh,rational,15d1,1,fp32,341889.00,3.78,1,[-10.0,10.0]
asinh_n2d2_s1_uniform_rational_ulp.csv,asinh,rational,2d2,1,fp32,2050497.00,3.10,1,[-10.0,10.0]
asinh_n4d1_s1_uniform_rational_ulp.csv,asinh,rational,4d1,1,fp32,3601515.00,3.10,1,[-10.0,10.0]
asinh_n5d1_s1_uniform_rational_ulp.csv,asinh,rational,5d1,1,fp32,2183530.00,3.16,1,[-10.0,10.0]
asinh_n5d5_s1_uniform_rational_ulp.csv,asinh,rational,5d5,1,fp32,35019.00,3.31,1,[-10.0,10.0]
