cfg,test,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
d8d4c8cd6c07,perf_matmul,64368,64390,64368,64365,64367,64366,64372,64374,64383,64368
11f63677251a,perf_matmul,100406,100376,100407,100406,100406,100406,100407,100407,100406,100406
116fdb2d093e,perf_matmul,134139,134145,134148,133899,134149,134128,134136,134136,134136,134148
eafff3e96d1c,perf_matmul,85134,85117,85114,85118,85130,85120,85153,85131,85127,85130
818692c8f259,perf_matmul,51075,51075,51075,51072,51078,51081,51070,51075,51075,51075
515203ae82e2,perf_matmul,67882,68124,67458,67458,67458,68184,67754,67684,68082,67917
4fa8ef246650,perf_matmul,47446,47456,47456,47456,47456,47456,47438,47457,47468,47456
44ff4a4b177c,perf_matmul,75604,75604,75604,75593,75604,75610,75604,75604,75604,75599
b9897b67d288,perf_matmul,100392,100387,100387,100387,100387,100389,100387,100387,100385,100364
65cc2290fbf2,perf_matmul,70223,70224,70225,70223,70223,70230,70223,70223,70229,70240
eddb0f94e582,perf_matmul,133430,133422,133413,133415,133415,133421,133415,133406,133419,133407
70dfd8a2a24d,perf_matmul,93014,93004,93016,93005,93015,93003,93015,93003,93008,93001
f4bf797955ae,perf_matmul,51472,51462,51463,51462,51462,51468,51462,51462,51462,51463
2bdbf63c6791,perf_matmul,67840,67833,67847,67857,67832,67853,67857,67845,67852,67841
8ccf875dafb5,perf_matmul,51186,51176,51167,51167,51169,51167,51168,51167,51167,51167
d667c41f1600,perf_matmul,76219,76238,76219,76219,76219,76219,76220,76219,76219,76217
41399493562e,perf_matmul,100899,100874,100899,100907,100899,100885,100892,100899,100913,100899
311832c0134f,perf_matmul,76019,76014,76015,76015,76019,76015,76012,76015,76029,76013
402e486a1564,perf_matmul,133885,133622,133887,133878,133885,133885,133881,133878,133885,133885
245668e10e4f,perf_matmul,100844,100844,100832,100844,100835,100835,100833,100841,100836,100841
2e03f7b1f4ef,perf_matmul,51035,50792,50794,50797,50788,50789,50789,50794,50786,50787
615f8f373697,perf_matmul,75554,75576,75620,75630,75630,75632,75632,75630,75626,75630
85fa8e7ce8e6,perf_matmul,100632,100605,100609,100619,100620,100605,100624,100611,100605,100610
90f36869eed8,perf_matmul,58318,58316,58318,58296,58318,58318,58281,58308,58291,58277
2e99605a6d9e,perf_matmul,100333,100333,100335,100333,100331,100333,100331,100333,100326,100310
fc795e696c6d,perf_matmul,133557,133623,133625,133625,133622,133625,133640,133625,133621,133625
0ecb6480da91,perf_matmul,76873,76857,76873,76862,76836,76873,76881,76864,76891,76873
7a212c60d66c,perf_matmul,35064,35111,35125,35125,35111,35110,35111,35111,35065,35121
bf9ada291db7,perf_matmul,46368,46426,46432,46400,46432,46429,46434,46439,46402,46403
078c180421fa,perf_matmul,68217,68239,68238,68227,68224,68239,68223,68215,68238,68200
f14fc43edb72,perf_matmul,87685,87793,87824,87848,87866,87853,87794,87881,87785,87752
661951229da6,perf_matmul,67076,67011,67014,67015,67009,67008,67023,67020,67021,67012
fc576e8e45f5,perf_matmul,129077,129138,129168,129094,129109,129114,129148,129129,129132,129066
217d726975aa,perf_matmul,170344,170296,170306,170316,170357,170343,170409,170405,170320,170348
0fc1f10858c0,perf_matmul,795557,795560,795557,795556,795564,795568,795557,795560,795557,795557
334a399106a6,perf_matmul,29517,29376,29396,29389,29471,29398,29407,29396,29398,29396
6a914a29cb2f,perf_matmul,35270,35228,35232,35270,35270,35270,35248,35270,35270,35271
fa5ee9059464,perf_matmul,51008,50936,50989,51029,51063,51017,50876,50996,50992,50996
b3ff218c0ff4,perf_matmul,87585,87661,87663,87706,87657,87677,87709,87664,87662,87699
153c8eecf101,perf_matmul,73978,74003,73932,73933,73981,74002,73922,73946,73886,73969
dc0732034418,perf_matmul,128930,128941,128971,128963,128923,129003,128932,128938,128929,128923
34ab0aae7791,perf_matmul,795466,795457,795466,795489,795461,795467,795469,795461,795474,795475
0599a59f0323,perf_matmul,28633,28623,28618,28636,28693,28636,28663,28636,28719,28684
2e30668dc63a,perf_matmul,35096,35083,35083,35096,35096,35096,35099,35082,35101,35096
3e32f9906f13,perf_matmul,53011,53010,53009,53057,53060,53030,53010,53132,53048,53087
11f2cc0325ae,perf_matmul,86404,86444,86379,86360,86521,86429,86430,86394,86391,86430
f6e43878c2e4,perf_matmul,78072,78079,78080,77999,78041,78092,78092,78063,78081,78076
2bd6444a119f,perf_matmul,127750,127773,127659,127735,127786,127714,127729,127742,127732,127730
079a3d732c78,perf_matmul,795662,795675,795680,795660,795669,795681,795682,795681,795681,795685
fa45ff10e343,perf_matmul,36683,36683,36683,36683,36683,36683,36626,36679,36683,36683
d2a493416004,perf_matmul,42684,42675,42577,42609,42580,42633,42620,42724,42621,42633
5ba1a5d2ce0d,perf_matmul,67614,67837,67614,67614,67616,67608,67885,67614,67847,67614
4da459c4da57,perf_matmul,86569,86550,86527,86548,86548,86524,86575,86500,86499,86581
b40f90728182,perf_matmul,61381,61369,61402,61398,61381,61398,61361,61382,61393,61369
98ca40b3963a,perf_matmul,128819,128869,128908,128755,128868,128799,128817,128889,128924,128873
86582a35d0bc,perf_matmul,169874,169787,169833,169747,169759,169810,169804,169789,169833,169786
65941a275015,perf_matmul,797051,797015,797048,797057,797056,796985,797067,797051,797063,796968
fa95beeec9cf,perf_matmul,21032,21046,21047,21058,21047,21047,21047,21047,21050,21047
00cc746a3c15,perf_matmul,40381,40381,40381,40389,40378,40387,40380,40381,40381,40385
080b089eb835,perf_matmul,424916,424913,424920,424920,424910,424912,424925,424921,424916,424908
076bdde9a1d5,perf_matmul,22626,22623,22618,22627,22627,22623,22623,22623,22635,22623
9e75078b66b7,perf_matmul,424998,424995,425007,424995,425007,424988,424990,425009,425003,424991
b60660c5ab8d,perf_matmul,23731,23739,23739,23731,23729,23734,23740,23729,23729,23735
ce9cefd68075,perf_matmul,427246,427241,427253,427233,427233,427245,427235,427238,427238,427228
525bf363a8fd,perf_matmul,19693,19687,19670,19686,19674,19686,19686,19649,19673,19686
a3a9ddf96e48,perf_matmul,37737,37713,37711,37713,37724,37722,37733,37713,37721,37717
baec793d2060,perf_matmul,424862,424858,424859,424856,424838,424858,424836,424843,424868,424860
72d10b79742e,perf_matmul,22458,22903,22315,22920,22902,22902,22402,22902,22902,22903
936cf0596bae,perf_matmul,41111,41115,41115,41110,41116,41143,41113,41103,41114,41141
115f32bb0136,perf_matmul,617815,617826,617806,617816,617799,617788,617793,617795,617806,617816
9ab4403af3c2,perf_matmul,22523,22536,22552,22536,22523,22529,22536,22536,22536,22535
24d5559c46f3,perf_matmul,656413,656424,656410,656410,656442,656437,656410,656415,656396,656417
2ba292f54735,perf_matmul,22782,22788,22788,22790,22788,22788,22790,22788,22788,22803
385ae8ad01e5,perf_matmul,705087,705090,705088,705090,705089,705085,705095,705085,705091,705091
eafe4a98acfa,perf_matmul,22729,22707,22707,22758,22707,22708,22707,22707,22707,22707
4eb7561425c4,perf_matmul,41064,41064,41063,41064,41029,41063,41030,41059,41058,41065
ee65d59dde8c,perf_matmul,571843,571834,571848,571830,571826,571894,571844,571834,571848,571835
8a71425ad0d1,perf_matmul,33628,33662,33662,33662,33662,33662,33662,33662,33661,33741
b2c7b0bdefed,perf_matmul,66551,66551,66550,66552,66552,66552,66545,66513,66598,66553
988da01f3c0f,perf_matmul,263169,263170,263165,263166,263169,263166,263153,263168,263169,263184
f5ed69e071f9,perf_matmul,193289,193272,193275,193288,193288,193280,193304,193281,193279,193307
24450cce075e,perf_matmul,755532,755500,755500,755498,755509,755502,755499,755513,755523,755501
2ba389ec0547,perf_matmul,34022,34022,34022,34022,34023,33813,34022,34022,34022,33716
6fbf65cf3e96,perf_matmul,66533,66300,66268,66322,66271,66659,66516,66272,66274,66472
8c08ac32e06c,perf_matmul,100221,100219,100219,100218,100218,100219,100226,100218,100218,100219
a6bf77ca6143,perf_matmul,193643,193670,193649,193655,193654,193630,193646,193654,193667,193660
541f73a80341,perf_matmul,754349,754340,754312,754337,754332,754339,754343,754363,754321,754342
aa0999924e61,perf_matmul,33725,33882,33926,33754,33754,33942,33882,33754,33754,33754
3db210caa8e8,perf_matmul,66471,66644,66503,66537,66402,66539,66718,66535,66544,66476
76fe5961abf8,perf_matmul,99751,99735,99744,99737,99739,99743,99751,99747,99741,99741
a6f9a86e57d6,perf_matmul,193696,193697,193701,193707,193692,193701,193696,193695,193701,193695
3ff66a597681,perf_matmul,757436,757440,757433,757422,757438,757422,757439,757427,757437,757427
64c6b08c5684,perf_matmul,33821,33821,33829,33821,33822,33822,33831,33821,33821,33820
5efa8521d46f,perf_matmul,66657,66622,66626,66623,66626,66625,66659,66615,66625,66639
3b03df4cf77b,perf_matmul,263209,263211,263210,263212,263212,263212,263202,263214,263222,263210
2dcbe4c82fb3,perf_matmul,193685,193685,193670,193682,193689,193704,193668,193685,193681,193683
a46b9f11de5e,perf_matmul,755944,755976,755958,755956,755932,755962,755941,755953,755928,755947
06d96b93ed1d,perf_matmul,21065,21142,21086,21048,21086,21086,21113,21063,21309,21367
171320d18473,perf_matmul,38259,38243,38286,38279,38256,38259,38257,38240,38255,38231
f430ed8ebffb,perf_matmul,55616,55625,55612,55612,55595,55600,55623,55597,55620,55608
4cbe8984a98e,perf_matmul,106585,106621,106547,106524,106531,106623,106567,106576,106609,106564
b24b1128e708,perf_matmul,200325,200223,200329,200221,200340,200280,200308,200281,200304,200325
2dc937fc47c7,perf_matmul,21413,21481,21416,21421,21421,21416,21226,21424,21276,21421
8f1427be6ddf,perf_matmul,38045,38046,38030,38033,38034,38034,38047,38045,38034,38040
e2ce18db6f7a,perf_matmul,81377,81399,81434,81437,81470,81520,81430,81450,81516,81372
a1ce4cddfeeb,perf_matmul,104878,104796,104867,104953,104901,104867,104907,104838,104960,104833
5d29e833c6f9,perf_matmul,198189,198405,198600,198251,198252,198367,198741,198413,198213,198320
6f7bd6324901,perf_matmul,21018,21021,21009,21187,20917,21061,21021,21021,21079,20917
4eb9bad203ee,perf_matmul,38500,38500,38488,38485,38482,38492,38510,38497,38516,38501
43fb7d0cc89b,perf_matmul,82194,82190,82241,82175,82231,82177,82222,82203,82188,82207
ed39c477c08d,perf_matmul,105729,105722,105696,105721,105701,105764,105702,105657,105671,105693
7800f8ff3446,perf_matmul,199652,199607,199632,199624,199605,199622,199605,199623,199618,199696
465f3675b603,perf_matmul,22236,22262,22262,22175,22261,22262,22216,22422,22219,22265
83e9ce59fb7f,perf_matmul,38426,38360,38436,38411,38452,38411,38432,38351,38510,38532
35722c4fda3a,perf_matmul,55882,55884,55890,55870,55870,55917,55885,55879,55889,55905
2c6a963f698c,perf_matmul,106172,106196,106129,106242,106175,106195,106160,106178,106209,106217
a54bd486be11,perf_matmul,199876,199867,199975,199901,199893,199878,199863,199988,199870,199864
43feec01c24d,perf_math_matmul,191723,191717,191717,191717,191719,191717,191717,191717,191717,191724
8bd3c4f01d02,perf_math_matmul,219380,219377,219372,219380,219380,219372,219372,219380,219372,219372
ba7069b2ffe7,perf_math_matmul,222422,222422,222422,222442,222422,222445,222442,222442,222442,222422
6934c57fd182,perf_math_matmul,250389,250448,250389,250389,250389,250389,250389,250461,250461,250461
aebf82d49dd7,perf_math_matmul,253489,253504,253504,253489,253518,253504,253504,253489,253504,253489
2de3d1e3973b,perf_math_matmul,280985,280999,280999,281021,281007,280999,280985,280985,280985,280999
775af02194bb,perf_math_matmul,284048,284077,284065,284048,284065,284048,284079,284048,284048,284065
5d5837ed0822,perf_math_matmul,311517,311513,311517,311517,311517,311513,311517,311517,311517,311517
976a0b358c8e,perf_math_matmul,314584,314584,314584,314584,314585,314584,314588,314584,314584,314584
4d765afc3d59,perf_math_matmul,348385,348385,348381,348385,348385,348381,348385,348385,348381,348381
2f820be80588,perf_math_matmul,377055,377055,377055,377051,377055,377055,377055,377055,377055,377055
3e020fa73c93,perf_math_matmul,387289,387289,387289,387289,387289,387289,387289,387289,387289,387289
4da342955016,perf_math_matmul,410843,410847,410843,410843,410847,410847,410843,410847,410847,410843
d39ca878f140,perf_math_matmul,425177,425177,425177,425177,425177,425177,425177,425177,425177,425177
a0f0cc258d78,perf_math_matmul,444639,444639,444639,444639,444639,444639,444639,444639,444639,444639
8db35974dc3b,perf_math_matmul,463065,463065,463065,463065,463065,463065,463065,463065,463065,463065
d3ab2036370d,perf_math_matmul,478427,478427,478427,478427,478427,478427,478431,478427,478427,478436
7c073816aaf7,perf_math_matmul,655582,655583,655585,655581,655581,655584,655579,655586,655585,655586
e616b8872004,perf_math_matmul,500953,500953,500953,500953,500953,500953,500953,500953,500953,500953
4621c7dd230b,perf_math_matmul,512223,512223,512223,512223,512223,512223,512223,512223,512223,512223
61b5f00b7d8d,perf_math_matmul,699612,699614,699612,699615,699612,699615,699622,699614,699620,699612
b5a25be0e7ef,perf_math_matmul,538841,538841,538841,538841,538841,538841,538841,538841,538841,538841
14ff30a136e3,perf_math_matmul,743649,743648,743650,743648,743648,743649,743648,743647,743647,743646
409de4f51386,perf_math_matmul,699613,699613,699613,699611,699611,699613,699614,699618,699613,699615
267d2ce36140,perf_math_matmul,655586,655580,655587,655587,655580,655583,655583,655587,655580,655579
1927ad367545,perf_math_matmul,500953,500953,500953,500953,500953,500953,500953,500953,500953,500953
7e32d2b010fb,perf_math_matmul,463065,463065,463065,463065,463065,463065,463065,463065,463065,463065
de933418c97d,perf_math_matmul,478428,478427,478427,478427,478427,478427,478427,478431,478427,478427
70cf229d6088,perf_math_matmul,425177,425177,425177,425177,425177,425177,425177,425177,425177,425177
8342da532746,perf_math_matmul,444639,444639,444639,444639,444639,444639,444639,444639,444639,444639
acccba76921c,perf_math_matmul,387289,387289,387289,387289,387289,387289,387289,387289,387289,387289
6c1c35de48e9,perf_math_matmul,410843,410843,410847,410847,410847,410847,410847,410843,410843,410843
60fa7e1d180a,perf_math_matmul,348385,348381,348381,348381,348381,348385,348385,348381,348385,348381
b5c5c5a90b14,perf_math_matmul,349405,349405,349405,349405,349404,349405,349404,349405,349404,349404
35d25bfbd5e5,perf_math_matmul,377055,377055,377055,377055,377055,377055,377055,377055,377055,377055
899867799e2b,perf_math_matmul,311513,311517,311513,311517,311517,311513,311517,311513,311513,311517
cb82aa9533ae,perf_math_matmul,314585,314585,314584,314585,314585,314584,314584,314584,314584,314584
40b5f600164b,perf_math_matmul,343260,343260,343260,343260,343261,343261,343260,343260,343260,343261
b50f0ba4b114,perf_math_matmul,280999,280985,280989,280999,280985,280999,280985,281021,280985,280999
d651a5392f06,perf_math_matmul,284065,284048,284065,284065,284048,284065,284048,284065,284068,284048
01fc3effdddd,perf_math_matmul,250389,250448,250461,250389,250464,250389,250461,250461,250425,250389
1fc9d8132272,perf_math_matmul,253504,253504,253503,253504,253504,253504,253504,253489,253493,253489
c10ab2ed1ef6,perf_math_matmul,219372,219372,219372,219372,219379,219380,219380,219372,219380,219380
423c7c6c77ca,perf_math_matmul,222422,222422,222442,222422,222442,222422,222442,222442,222442,222422
2e891c5025a9,perf_math_matmul,191720,191724,191717,191724,191717,191724,191717,191717,191717,191717
0e98070c309f,perf_math_matmul,294099,294099,294099,294099,294103,294099,294099,294099,294099,294099
141d3bbd665e,perf_math_matmul,337848,337848,337848,337852,337910,337910,337910,337910,337848,337848
4e4e48080114,perf_math_matmul,380303,380981,380981,380303,380981,380314,380303,380981,380981,380981
cb2dccec552c,perf_math_matmul,423128,423128,423128,423128,423128,423128,423128,423128,423128,423128
51f109f58b1b,perf_math_matmul,472284,472284,472284,472284,472284,472284,472284,472284,472284,472284
a3b357baa686,perf_math_matmul,423128,423128,423128,423128,423128,423128,423128,423128,423128,423128
72a22187a795,perf_math_matmul,380981,380981,380306,380303,380303,380981,380303,380303,380303,380981
d02bf2eb0e20,perf_math_matmul,337918,337848,337910,337910,337852,337848,337852,337910,337848,337848
0866ac11efa6,perf_math_matmul,294099,294099,294099,294099,294107,294099,294099,294103,294099,294103
340199dcd791,perf_math_matmul,251097,251097,251100,251097,251100,251100,251097,251097,251097,251097
65d50cd16ef1,perf_math_matmul,656606,656605,656606,656605,656602,656606,656602,656602,656602,656602
976bc3a36269,perf_math_matmul,719066,719066,719066,719070,719066,719070,719070,719066,719070,719066
6f43a0c26fc7,perf_math_matmul,781530,781530,781530,781534,781534,781530,781530,781534,781530,781534
624cadcf4f85,perf_math_matmul,843994,843994,843993,843998,843994,843997,843998,843994,843998,843994
07adf2b05a72,perf_math_matmul,906462,906462,906462,906458,906462,906462,906458,906458,906458,906458
d945b443be06,perf_math_matmul,906462,906462,906462,906462,906462,906462,906462,906462,906462,906462
4602493f2778,perf_math_matmul,843994,843997,843994,843998,843994,843994,843994,843994,843998,843994
b161e1064789,perf_math_matmul,781534,781534,781530,781534,781530,781530,781534,781530,781530,781534
27b63a1ea73d,perf_math_matmul,719070,719066,719066,719070,719066,719070,719070,719066,719070,719066
c0577ab919d0,perf_math_matmul,656605,656602,656602,656602,656605,656602,656606,656606,656602,656605
7ea90da04ae4,perf_math_matmul,150503,150536,150504,150534,150533,150534,150534,150504,150534,150532
81195861f127,perf_math_matmul,165903,165893,165891,165901,165893,165909,165913,165902,165907,165893
2fd09ecf4a0f,perf_math_matmul,181296,181296,181316,181307,181307,181309,181342,181307,181296,181297
e9319b806683,perf_math_matmul,203025,203029,203024,203024,203024,203025,203027,203025,203024,203025
d983b4aaf7e6,perf_math_matmul,250137,250137,250137,250137,250138,250137,250138,250138,250137,250138
60d13ba0b7e2,perf_math_matmul,250137,250137,250137,250137,250137,250137,250138,250138,250137,250137
f90b4e094b80,perf_math_matmul,203024,203025,203024,203025,203025,203025,203025,203025,203025,203025
6333ad08fc20,perf_math_matmul,181296,181296,181321,181296,181296,181296,181296,181296,181296,181342
dfc4e66b39ed,perf_math_matmul,165902,165892,165902,165903,165903,165898,165903,165891,165895,165909
1b53472f6ca4,perf_math_matmul,150536,150499,150534,150534,150533,150502,150499,150499,150519,150498
dc7e45355311,perf_math_matmul,118265,118357,118265,118265,118265,118265,118265,118268,118357,118325
1f34c0304bac,perf_math_matmul,117990,117990,117990,117990,117990,118210,117990,117990,117990,118210
8c9c17456d93,perf_math_matmul,124870,124878,124863,124866,124878,124869,124867,124878,124878,124876
b705f043505c,perf_math_matmul,145625,145619,145625,145619,145619,145626,145619,145619,145625,145619
c2eab8410029,perf_math_matmul,488703,488703,488691,488691,488698,488694,488697,488694,488694,488699
3d62072e1716,perf_math_matmul,524523,524523,524516,524525,524526,524520,524525,524525,524529,524517
8d72a7f96dd1,perf_math_matmul,488699,488693,488696,488693,488691,488697,488691,488690,488702,488697
27be94550ad9,perf_math_matmul,124872,124878,124878,124878,124871,124877,124863,124878,124878,124877
7963cd8f33c8,perf_math_matmul,117990,117990,118210,118210,117990,118352,117990,118352,118352,117990
a0b9c7dd55bd,perf_math_matmul,118265,118357,118265,118265,118265,118325,118265,118357,118357,118357
80427e035917,perf_math_matmul,118077,118077,118002,118077,118228,118002,118077,118002,118077,118077
c5713a911940,perf_math_matmul,118437,118053,118173,118173,118173,118173,118053,118173,118173,117985
653feb44d882,perf_math_matmul,131182,131182,131180,131180,131182,131182,131180,131182,131182,131182
ea215f800f0c,perf_math_matmul,118173,118173,118053,118412,118053,118173,118173,118053,118082,118053
02b5f29727f4,perf_math_matmul,118002,118228,118002,118002,118077,118077,118002,118228,118077,118002
f54c392cc141,perf_math_matmul,118173,118173,118173,118173,118173,118265,118173,118173,118229,118173
abd05c1f456d,perf_math_matmul,127824,127824,127824,127824,127824,127606,127878,127824,127606,127824
1057c43b80ac,perf_math_matmul,171199,171196,171197,171191,171191,171199,171191,171197,171199,171199
87e834646152,perf_math_matmul,294104,294099,294100,294100,294099,294099,294103,294100,294104,294099
5cf620a37f5d,perf_math_matmul,338005,337848,338005,337848,337848,337848,337848,337848,337902,337848
5fddf52619c0,perf_math_matmul,380981,380981,380981,380332,380981,380332,380981,380981,380981,380332
cfa2d08abc6f,perf_math_matmul,337880,337848,337848,338005,337848,337848,337848,337848,337848,337848
fcac091bae2d,perf_math_matmul,294099,294103,294099,294099,294099,294099,294100,294099,294099,294099
a0e58d349bde,perf_math_matmul,127824,127824,127824,127824,127824,127824,127824,127606,127824,127606
7bf66f0aba4c,perf_math_matmul,118265,118173,118173,118265,118173,118073,118173,118265,118173,118265
c33b9981b33b,perf_math_matmul,150501,150509,150510,150502,150502,150500,150501,150529,150511,150504
4e142dbfe600,perf_math_matmul,165930,165930,165932,165932,165934,165938,165939,165931,165937,165933
3c105373b03e,perf_math_matmul,165931,165916,165913,165929,165914,165915,165929,165931,165931,165930
9084716dd2dc,perf_math_matmul,182306,182306,182298,182308,182298,182305,182298,182273,182308,182305
68f0e6c2e994,perf_math_matmul,196653,196695,196657,196657,196728,196658,196663,196657,196663,196657
5c7768ebab40,perf_math_matmul,182306,182305,182304,182305,182305,182305,182304,182304,182305,182299
6a03684d0768,perf_math_matmul,165937,165889,165932,165934,165930,165938,165930,165934,165936,165938
33ecdd35db2b,perf_math_matmul,165929,165930,165912,165930,165913,165931,165929,165913,165930,165913
026de3fabb75,perf_math_matmul,150499,150496,150524,150526,150526,150526,150527,150523,150526,150522
f58ea14ea506,perf_math_matmul,150501,150511,150510,150500,150510,150501,150499,150500,150509,150505
1a910d29b85b,perf_math_matmul,118221,118221,118221,118104,118104,118221,118221,118221,118221,118221
e21b90daa67d,perf_math_matmul,156939,156939,156940,156940,156940,156940,156940,156939,156939,156940
74cf5160731e,perf_math_matmul,215243,215243,215240,215243,215243,215242,215243,215243,215243,215243
5c0980decbd4,perf_math_matmul,272601,272598,272598,272598,272598,272598,272598,272598,272598,272601
047ea1644c1c,perf_math_matmul,330967,330966,330966,330966,330966,330966,330967,330966,330966,330967
7d6e6ecfd2c4,perf_math_matmul,330966,330966,330966,330966,330966,330966,330966,330966,330967,330967
58c4cc43bee6,perf_math_matmul,272598,272598,272598,272598,272598,272598,272598,272598,272598,272598
09c7857ce447,perf_math_matmul,215243,215243,215243,215240,215243,215240,215243,215240,215243,215243
571c18dbcf25,perf_math_matmul,156940,156939,156940,156940,156935,156940,156940,156934,156934,156940
ac8a50bece14,perf_math_matmul,118386,118221,118221,118104,118337,118221,118221,118221,118221,118104
a06110239171,perf_math_matmul,136186,136186,136186,136186,136186,136197,136186,136186,136186,136186
a950088e2bf0,perf_math_matmul,136177,136177,136177,136177,136177,136174,136177,136177,136177,136177
955ffbafd925,perf_math_matmul,153626,153626,153626,153626,153611,153626,153626,153626,153626,153626
ff25a3fa32bc,perf_math_matmul,168985,168985,168985,168985,168985,168990,168985,168985,168990,168985
2a6f1cc25390,perf_math_matmul,184327,184327,184327,184327,184327,184327,184351,184327,184327,184327
42937d65e844,perf_math_matmul,184338,184338,184338,184338,184338,184354,184338,184338,184338,184338
9a7ea25d5c98,perf_math_matmul,168972,168972,168972,168972,168972,168972,168972,169004,168972,168972
55054cf41911,perf_math_matmul,168985,168985,168985,168985,168985,168970,168985,168983,168985,168985
ec31991431d3,perf_math_matmul,153626,153626,153626,153626,153626,153626,153626,153625,153626,153626
e4140df5cb94,perf_math_matmul,136171,136186,136186,136186,136186,136186,136186,136186,136186,136186
9205707a3672,perf_math_matmul,224464,224464,224464,224464,224464,224464,224464,224464,224464,224464
f6dd0df5c948,perf_math_matmul,270546,270546,270546,270546,270547,270546,270546,270546,270546,270546
5e152cc1487d,perf_math_matmul,316627,316627,316627,316627,316627,316627,316627,316627,316627,316627
ad65e608ddca,perf_math_matmul,360388,360345,360345,360371,360345,360371,360344,360345,360415,360345
2f26ccc1390c,perf_math_matmul,408790,408790,408790,408790,408790,408791,408790,408790,408790,408790
5051d6487dfd,perf_math_matmul,360371,360371,360371,360345,360371,360371,360371,360371,360345,360371
da2d1305ead7,perf_math_matmul,316627,316627,316627,316627,316627,316627,316627,316627,316627,316627
253807a90dca,perf_math_matmul,270546,270546,270546,270545,270546,270546,270546,270546,270546,270546
1cbaa0d516f9,perf_math_matmul,224464,224464,224464,224464,224464,224464,224464,224464,224464,224464
a3ada4e7262a,perf_math_matmul,179398,179398,179398,179398,179398,179398,179398,179398,179398,179395
e12d9a0ef7bd,perf_math_matmul,150500,150500,150501,150501,150501,150498,150498,150498,150501,150504
fa3ef3e4c5cc,perf_math_matmul,150511,150512,150509,150511,150513,150513,150496,150494,150496,150511
8c7c487e0dc7,perf_math_matmul,165900,165903,165898,165898,165898,165903,165897,165903,165896,165901
99a964545e06,perf_math_matmul,165926,165927,165927,165929,165946,165926,165906,165905,165909,165926
c57a8f896c1e,perf_math_matmul,181261,181261,181314,181261,181307,181261,181313,181314,181314,181314
731d0819bbbc,perf_math_matmul,196656,196656,196656,196703,196680,196656,196680,196657,196680,196658
0d6c608c3642,perf_math_matmul,181261,181319,181314,181259,181309,181314,181314,181314,181298,181314
b93f6b08aca1,perf_math_matmul,165896,165903,165897,165900,165904,165897,165897,165897,165898,165898
6fa1c24941fa,perf_math_matmul,150500,150498,150499,150503,150501,150498,150498,150505,150501,150498
b7bfaf345edd,perf_math_matmul,150511,150493,150513,150514,150494,150495,150496,150525,150511,150496
61a5d16521a1,perf_math_matmul,122650,122758,122768,122746,122746,122746,122746,122746,122746,122746
18d1702fa9c4,perf_math_matmul,206026,206029,206029,206029,206029,206029,206027,206029,206029,206029
f858eee869a8,perf_math_matmul,288974,288974,288975,288974,288974,288980,288971,288975,288974,288971
0b589c569453,perf_math_matmul,439515,439515,439508,439508,439508,439508,439515,439508,439508,439508
314a22c32b1d,perf_math_matmul,503079,503079,503079,503079,503079,503079,503079,503079,503079,503079
a487ae0d2e20,perf_math_matmul,572631,572631,572631,572631,572631,572631,572631,572631,572631,572631
0f01b283467e,perf_math_matmul,503079,503079,503079,503079,503079,503069,503079,503079,503079,503066
3cb23ad5c489,perf_math_matmul,439508,439508,439508,439508,439508,439508,439508,439508,439508,439508
580df711585f,perf_math_matmul,206029,206029,206029,206029,206026,206026,206025,206029,206029,206029
f6eb5df6b9e4,perf_math_matmul,122650,122746,122650,122746,122746,122746,122746,122746,122746,122746
70e9b3ed05ed,perf_math_matmul,201951,201955,201953,201951,201952,201953,201952,201951,201952,201953
c7bcebc64d58,perf_math_matmul,234736,234736,234735,234739,234736,234736,234736,234739,234738,234745
2c49bb50ca91,perf_math_matmul,265542,265525,265516,265522,265528,265522,265519,265519,265522,265519
beaa4933125f,perf_math_matmul,300251,300251,300251,300251,300251,300254,300251,300254,300254,300251
8a35d36ce29d,perf_math_matmul,333022,333022,333021,333021,333025,333021,333021,333022,333021,333021
3c03f66b5ade,perf_math_matmul,333022,333021,333021,333020,333021,333021,333021,333021,333021,333023
b7fdc085a35f,perf_math_matmul,300251,300252,300256,300254,300254,300255,300255,300251,300254,300251
0cb4befce331,perf_math_matmul,265522,265522,265522,265519,265522,265519,265522,265522,265517,265522
23c0f1dbfa47,perf_math_matmul,234738,234736,234736,234736,234736,234737,234736,234736,234736,234739
137e6264f9b9,perf_math_matmul,201953,201951,201953,201951,201952,201951,201953,201951,201953,201953
67f75e00e078,perf_math_matmul,151553,151547,151553,151554,151554,151557,151554,151556,151553,151556
bc6704b61d21,perf_math_matmul,167948,167975,167963,167926,167965,167975,167975,167976,167965,167976
08816ed3bfdc,perf_math_matmul,181404,181373,181372,181372,181375,181372,181372,181375,181368,181376
b2d761f3321d,perf_math_matmul,195752,195760,195757,195777,195763,195764,195760,195763,195760,195760
19f9b7620c87,perf_math_matmul,226601,226599,226599,226595,226597,226604,226603,226601,226609,226599
b617713fef3c,perf_math_matmul,226599,226602,226605,226593,226617,226599,226580,226605,226603,226597
f84c8c55c249,perf_math_matmul,195760,195749,195760,195766,195760,195760,195763,195746,195763,195760
e4cc6f0c5277,perf_math_matmul,181373,181372,181338,181372,181372,181372,181376,181372,181372,181372
