GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
107523,,,3,blackhole,,110,110,,,1087,44120,1442270720870,1442270780432,10246,1442270766452,1442270780284,10246,1442270766452,1442270780284,10246,9911,,,,,562,562
108547,,,3,blackhole,,110,110,,,176,1934,1442271218296,1442271220907,1341,1442271218951,1442271220762,1336,1442271218958,1442271220762,1313,677,719,833,424,,324822,324872
109571,,,3,blackhole,,110,110,,,171,2676,1442274013297,1442274016910,2084,1442274013949,1442274016763,2084,1442274013949,1442274016763,2043,1067,1144,1644,379,,2068586,2068586
110595,,,3,blackhole,,110,110,,,164,12132,1442276747231,1442276763609,11533,1442276747881,1442276763450,11533,1442276747881,1442276763450,11521,963,,,,,2023122,2023122
111619,,,3,blackhole,,110,110,,,176,35846,1442276904705,1442276953097,35261,1442276905349,1442276952952,35257,1442276905355,1442276952952,35241,34821,34864,34883,34715,,105109,105115
112643,,,3,blackhole,,44,110,,,299,50038,1442283658172,1442283725723,48638,1442283659890,1442283725551,48638,1442283659890,1442283725551,44973,48635,47773,47744,47779,,4968125,4968125
113667,,,3,blackhole,,110,110,,,170,36211,1442285885712,1442285934597,35625,1442285886358,1442285934452,35625,1442285886358,1442285934452,35612,35297,,,,,1600589,1600589
114691,,,3,blackhole,,4,110,,,81,3997,1442288762189,1442288767585,3392,1442288762864,1442288767443,3392,1442288762864,1442288767443,3383,1544,,,,,2095212,2095212
115715,,,3,blackhole,,110,110,,,194,5190,1442294597095,1442294604101,4581,1442294597767,1442294603951,4564,1442294597790,1442294603951,4541,2809,3107,4182,3579,,4319003,4319056
116739,,,3,blackhole,,88,110,,,164,3519,1442300111992,1442300116742,2484,1442300113246,1442300116600,2476,1442300113257,1442300116600,2476,2039,2066,1367,397,,4080229,4080479
