name,src_file,src_line,zone_name,zone_text,ns_since_start,exec_time_ns,thread,special_parent_text
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186181733,19701,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186201674,19570,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186221484,19590,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186241304,19791,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186261335,20610,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186282185,20240,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186302655,19941,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186322836,19800,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186342876,19891,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186362997,24650,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186387917,20010,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186408157,19821,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186428218,19900,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186448348,20070,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186468648,19511,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186488389,20190,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186508809,19511,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186528560,19580,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186548380,19220,1,
readControlBufferForCore,/localdev/cglagovich/tt-metal-blackhole-20260908/tt_metal/impl/profiler/profiler.cpp,1487,,,11186567840,19941,1,
