kernel_id,kind,kernel_path,status,case_id,lane,test,test_evidence,factory_ids,selection,kernel_or_factory_evidence,hardware
S074,compute,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp,selected,SM039,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py::test_softmax_backward_callback[dtype=DataType.BFLOAT16-shape_dim_strategy=[[32, 32], 0, MorehSoftmaxBackwardOpParallelizationStrategy.SMALL_H]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py:471,F075,"Explicit Moreh softmax backward strategy SMALL_H, BF16 [32,32].",ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp:29; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp:37; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp:57; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h.cpp:93,One device; see the test for core-grid requirements.
S075,compute,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h_large.cpp,selected,SM040,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py::test_softmax_backward_callback[dtype=DataType.BFLOAT16-shape_dim_strategy=[[32, 32], 0, MorehSoftmaxBackwardOpParallelizationStrategy.LARGE_H]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py:471,F074,"Explicit Moreh softmax backward strategy LARGE_H, BF16 [32,32].",ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h_large.cpp:30; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h_large.cpp:55; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_h_large.cpp:90,One device; see the test for core-grid requirements.
S076,compute,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp,selected,SM041,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py::test_softmax_backward_callback[dtype=DataType.BFLOAT16-shape_dim_strategy=[[32, 32], 1, MorehSoftmaxBackwardOpParallelizationStrategy.SMALL_W]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py:471,F077,"Explicit Moreh softmax backward strategy SMALL_W, BF16 [32,32].",ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp:29; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp:37; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp:57; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w.cpp:93,One device; see the test for core-grid requirements.
S077,compute,ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w_large.cpp,selected,SM042,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py::test_softmax_backward_callback[dtype=DataType.BFLOAT16-shape_dim_strategy=[[32, 32], 1, MorehSoftmaxBackwardOpParallelizationStrategy.LARGE_W]]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_softmax.py:471,F076,"Explicit Moreh softmax backward strategy LARGE_W, BF16 [32,32].",ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w_large.cpp:30; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w_large.cpp:55; ttnn/cpp/ttnn/operations/moreh/moreh_softmax_backward/device/kernels/moreh_softmax_backward_w_large.cpp:88,One device; see the test for core-grid requirements.
S078,compute,ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/moreh_sum_h.cpp,selected,SM043,common,"tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_sum.py::test_moreh_sum[bfloat16-keepdim-true-fp32_dest_acc_en=False-2-3, 2, TILE_HEIGHT * 10 - 1, TILE_WIDTH * 10 - 1]",tests/ttnn/nightly/unit_tests/operations/moreh/test_moreh_sum.py:192,F078,"BF16 [3,2,319,319], dim=2: Moreh height sum compute/reader.",ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/moreh_sum_h.cpp:39; ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/moreh_sum_h.cpp:45; ttnn/cpp/ttnn/operations/moreh/moreh_sum/device/moreh_sum_h_impl_kernels/moreh_sum_h.cpp:75,One device; see the test for core-grid requirements.
S079,compute,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp,selected,SM005,common,tests/ttnn/unit_tests/gtests/test_normalization.cpp::NormalizationSmoke.GroupNormNoMcastInterleaved,tests/ttnn/unit_tests/gtests/test_normalization.cpp:954,F079; F080,"TILE [1,1,32,64], two groups, 1x1 core grid, legacy (non-Welford) groupnorm.",ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp:291; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp:306; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp:386; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm.cpp:550,One device; see the test for core-grid requirements.
S080,compute,ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp,selected,SM006,common,tests/ttnn/unit_tests/operations/fused/test_group_norm.py::test_group_norm_sharded_all_config[legacy-row_major-bf16-gb_bf16-N=1-C=128-H=1-W=512-num_groups=16-grid_y=1-grid_x=4],tests/ttnn/unit_tests/operations/fused/test_group_norm.py:2137,F081,"ROW_MAJOR [1,1,512,128], four HEIGHT_SHARDED cores, BF16 input/affine, BF8 mask and FP32 destination accumulation. Four tiles per group force native mean reduction and guard mask-to-reduce format reconfiguration.",ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp:232; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp:336; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp:363; ttnn/cpp/ttnn/operations/normalization/groupnorm/device/kernels/compute/groupnorm_sharded_v2.cpp:502,One device with at least four cores in its first row.
S083,compute,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp,selected,SM009,common,tests/ttnn/unit_tests/gtests/test_normalization.cpp::NormalizationSmoke.LayerNormSharded1x1,tests/ttnn/unit_tests/gtests/test_normalization.cpp:485,F083; F084,"Tiled BF16 [1,1,32,64], WIDTH_SHARDED 1x1, use_welford defaults false, no ROW_MAJOR weights.",ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp:238; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp:268; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp:412,One device; see the test for core-grid requirements.
S085,compute,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp,selected,SM045,common,"tests/ttnn/unit_tests/operations/fused/test_distributed_layernorm_sharded.py::test_pre_allgather_layernorm[fuse_residual=False-max_atol_ex2=0.04-min_pcc_ex2=0.982-min_pcc_residual_add=0.997-min_pcc_ex=0.9997-max_atol_ex=0.01-core_grid=(8, 4)-mean=0-std=1-input_df=DataType.BFLOAT16-num_devices=4-input_width=2048-seed=0-is_rmsnorm=False]",tests/ttnn/unit_tests/operations/fused/test_distributed_layernorm_sharded.py:314,F083; F084,One physical device simulates four partitions; sharded layernorm PRE_ALL_GATHER selects pre-all-gather compute/writer.,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp:143; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp:176; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp:190; ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded_pre_allgather.cpp:257,One device; see the test for core-grid requirements.
S087,compute,ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather.cpp,selected,SM010,common,tests/ttnn/unit_tests/gtests/test_normalization.cpp::NormalizationSmoke.DistributedLayerNormStats,tests/ttnn/unit_tests/gtests/test_normalization.cpp:628,F087,"One device, tiled [1,1,32,64]: layernorm pre-all-gather statistics, two tiles wide.",ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather.cpp:60; ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather.cpp:112; ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather.cpp:127,One device; see the test for core-grid requirements.
S088,compute,ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather_2d.cpp,selected,SM012,common,tests/ttnn/unit_tests/gtests/test_normalization.cpp::NormalizationSmoke.DistributedRmsNorm2DGridStats,tests/ttnn/unit_tests/gtests/test_normalization.cpp:733,F087,"One device, [1,1,32,64], use_2d_core_grid=true: 2D pre-all-gather worker and merge code.",ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather_2d.cpp:63; ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather_2d.cpp:115; ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/compute/layernorm_pre_allgather_2d.cpp:158,One device; see the test for core-grid requirements.
S089,compute,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather.cpp,gap,,,,,F024,Legacy non-metal2 RMS post-all-gather appears only in a source-composition test; that test does not execute the kernel.,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather.cpp:88; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather.cpp:98,
S090,compute,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather_metal2.cpp,selected,SM011,common,tests/ttnn/unit_tests/gtests/test_normalization.cpp::NormalizationSmoke.DistributedRmsNormEndToEnd,tests/ttnn/unit_tests/gtests/test_normalization.cpp:704,F085,"One-device pre/post RMSNorm pipeline [1,1,32,64], num_devices=1; post uses metal2 compute.",ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather_metal2.cpp:91; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_post_allgather_metal2.cpp:101,One device; see the test for core-grid requirements.
S091,compute,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather.cpp,selected,SM011,common,tests/ttnn/unit_tests/gtests/test_normalization.cpp::NormalizationSmoke.DistributedRmsNormEndToEnd,tests/ttnn/unit_tests/gtests/test_normalization.cpp:704,F087,"One-device pre/post RMSNorm pipeline [1,1,32,64], num_devices=1; post uses metal2 compute.",ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather.cpp:59; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather.cpp:109,One device; see the test for core-grid requirements.
S092,compute,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather_2d.cpp,gap,,,,,,Legacy RMS pre-all-gather 2D source has no current host reference; the active 2D factory uses layernorm_pre_allgather_2d.cpp.,ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather_2d.cpp:54; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather_2d.cpp:81; ttnn/cpp/ttnn/operations/normalization/rmsnorm_distributed/device/kernels/compute/rmsnorm_pre_allgather_2d.cpp:120,
S093,compute,ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax.cpp,selected,SM013,common,tests/ttnn/unit_tests/gtests/test_normalization.cpp::NormalizationSmoke.SoftmaxInterleavedUniform,tests/ttnn/unit_tests/gtests/test_normalization.cpp:71,F088,"Tiled [1,1,32,32], last-dimension stable attention softmax.",ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax.cpp:170; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax.cpp:30; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax.cpp:341,One device; see the test for core-grid requirements.
S094,compute,ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp,selected,SM047,common,tests/ttnn/unit_tests/operations/fused/test_softmax.py::test_softmax_large_non_divisible_width[Wt=637],tests/ttnn/unit_tests/operations/fused/test_softmax.py:774,F088,Width 637 tiles: resident stable-softmax buffers exceed 90% of L1; dedicated large-kernel numerical test.,ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp:258; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp:291; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp:392; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_large_tensor.cpp:439,One device; see the test for core-grid requirements.
S095,compute,ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_sharded.cpp,selected,SM014,common,tests/ttnn/unit_tests/gtests/test_normalization.cpp::NormalizationSmoke.SoftmaxShardedInPlace,tests/ttnn/unit_tests/gtests/test_normalization.cpp:129,F089,"Tiled [1,1,32,32], one BLOCK_SHARDED core, no mask: ordinary sharded reader.",ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_sharded.cpp:114; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_sharded.cpp:31; ttnn/cpp/ttnn/operations/normalization/softmax/device/kernels/attention/compute/softmax_sharded.cpp:239,One device; see the test for core-grid requirements.
S099,compute,ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce.cpp,selected,SM001,common,tests/ttnn/unit_tests/gtests/test_reduction.cpp::ReductionSmoke.MeanReduceH,tests/ttnn/unit_tests/gtests/test_reduction.cpp:554,F098; F099; F100,"BF16 tiled [64,64], mean over H: interleaved H transpose reader and reduce.cpp.",ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce.cpp:26,One device; see the test for core-grid requirements.
S102,compute,ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce_rm.cpp,selected,SM003,common,tests/ttnn/unit_tests/gtests/test_reduction.cpp::ReductionSmoke.RowMajorSumW,tests/ttnn/unit_tests/gtests/test_reduction.cpp:682,F098; F099,"ROW_MAJOR [1,1,64,64], sum W: row-major reduce compute and reader.",ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce_rm.cpp:55; ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce_rm.cpp:115; ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/compute/reduce_rm.cpp:147,One device; see the test for core-grid requirements.
S104,compute,ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/compute/moe.cpp,selected,SM017,common,tests/ttnn/unit_tests/operations/reduce/test_moe.py::test_moe[N=1-C=1-H=32-W=64-k=32-E=8-e=2-BFLOAT16_B],tests/ttnn/unit_tests/operations/reduce/test_moe.py:72,F101,"Smallest existing MoE numerical shape: [1,1,32,64], eight experts, two selected.",ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/compute/moe.cpp:216; ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/compute/moe.cpp:477; ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/compute/moe.cpp:487,One device; see the test for core-grid requirements.
S105,compute,ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/compute/sampling.cpp,selected,SM004,common,tests/ttnn/unit_tests/gtests/test_reduction.cpp::ReductionSmoke.SamplingGreedyTopK1,tests/ttnn/unit_tests/gtests/test_reduction.cpp:1392,F102,"32 users, width 64, top-k=1: deterministic sampled indices. Sampling still runs its MAX/SUM softmax helpers.",ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/compute/sampling.cpp:189; ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/compute/sampling.cpp:466; ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/compute/sampling.cpp:469,One device; see the test for core-grid requirements.
S108,compute,ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py,selected,SM055,common,tests/ttnn/unit_tests/operations/examples/test_compute_fusion.py::test_compute_fusion_correctness,tests/ttnn/unit_tests/operations/examples/test_compute_fusion.py:140,F111,"Inline reduce+reciprocal correctness scenario; two fixed tile counts, fused/unfused variants.",ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py:268; ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py:271; ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py:279; ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py:288,One device; see the test for core-grid requirements.
S109,compute,ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py,selected,SM056,common,tests/ttnn/unit_tests/operations/examples/test_reduce_accumulate.py::test_reduce_accumulate_correctness,tests/ttnn/unit_tests/operations/examples/test_reduce_accumulate.py:164,F112,"Inline helper variant, row reduction, BF16 accumulation; four fixed tile counts.",ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py:180; ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py:184; ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py:193,One device; see the test for core-grid requirements.
S111,compute,ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py,selected,SM057,common,tests/ttnn/unit_tests/operations/examples/test_row_reduce_accumulate.py::test_row_reduce_accumulate_correctness,tests/ttnn/unit_tests/operations/examples/test_row_reduce_accumulate.py:184,F114,"Inline reduce_fold method, BF16 input/accumulation, positive inputs; six fixed tile counts.",ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:155; ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:191; ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:202; ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:260; ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py:266,One device; see the test for core-grid requirements.
S113,compute,ttnn/ttnn/operations/toy_variance/kernels/compute.cpp,selected,SM058,common,tests/ttnn/unit_tests/operations/toy_variance/test_toy_variance.py::test_toy_variance[variance-W=256_aligned],tests/ttnn/unit_tests/operations/toy_variance/test_toy_variance.py:42,F116,"Interleaved toy variance, aligned width 256.",ttnn/ttnn/operations/toy_variance/kernels/compute.cpp:60; ttnn/ttnn/operations/toy_variance/kernels/compute.cpp:78; ttnn/ttnn/operations/toy_variance/kernels/compute.cpp:96; ttnn/ttnn/operations/toy_variance/kernels/compute.cpp:114,One device; see the test for core-grid requirements.
S114,compute,ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp,selected,SM059,common,tests/ttnn/unit_tests/operations/toy_variance/test_toy_variance.py::test_toy_variance_width_sharded[variance-P=2_W=64_one_tile_each],tests/ttnn/unit_tests/operations/toy_variance/test_toy_variance.py:124,F117,"Sharded toy variance, two cores on one device, width 64 (one tile per core).",ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp:113; ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp:121; ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp:136; ttnn/ttnn/operations/toy_variance/kernels/sharded_compute.cpp:139,One device; see the test for core-grid requirements.
DF001,dataflow,models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/kernels/writer.cpp,covered,SM075,wormhole,tests/ttnn/unit_tests/operations/sdpa/test_bge_encoder_sdpa_reduce_migration.py::test_bge_encoder_sdpa_reduce_auxiliary[runtime_lengths=False-streaming=False],tests/ttnn/unit_tests/operations/sdpa/test_bge_encoder_sdpa_reduce_migration.py:21,DH001,Small standard SDPA with two query heads and 128 KV tokens.,models/demos/wormhole/bge_m3/tt/custom_ops/encoder_sdpa/op.py:26,One Wormhole device.
DF002,dataflow,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/kernels/dataflow_reduce.cpp,selected,SM067,fabric-1x4,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/test_udm_reduction_interleaved.cpp::MeshDevice1x4Fabric2DUDMFixture.TestWidthReductionInterleaved2D_Small,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/test_udm_reduction_interleaved.cpp:324,DH002,Small interleaved UDM width reduction.,tests/ttnn/unit_tests/gtests/udm/reduction/interleaved/test_udm_reduction_interleaved.cpp:89,"Four devices, 1x4 mesh with 2D fabric; UDM gtest binary required."
DF003,dataflow,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_receiver_unary_sharded_reduce.cpp,selected,SM068,fabric-1x4,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp::MeshDevice1x4Fabric2DUDMFixture.TestWidthReduction2D_Small,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp:472,DH003,Small sharded UDM width reduction instantiates sender and receiver kernels.,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp:226,"Four devices, 1x4 mesh with 2D fabric; UDM gtest binary required."
DF004,dataflow,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/kernels/reader_sender_unary_sharded_reduce.cpp,selected,SM068,fabric-1x4,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp::MeshDevice1x4Fabric2DUDMFixture.TestWidthReduction2D_Small,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp:472,DH003,Small sharded UDM width reduction instantiates sender and receiver kernels.,tests/ttnn/unit_tests/gtests/udm/reduction/sharded/test_udm_reduction.cpp:216,"Four devices, 1x4 mesh with 2D fabric; UDM gtest binary required."
DF005,dataflow,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_fused_worker_writer.cpp,selected,SM072,galaxy,models/tt_dit/tests/unit/test_distributed_rmsnorm_fused.py::test_corr_det[{arch}-wan_tp2],models/tt_dit/tests/unit/test_distributed_rmsnorm_fused.py:560,F034,"WAN whole-row RMSNorm, TP=2, prompt length512, width5120. TP1 uses the drain-only writer; TP2 uses the all-gather worker writer.",ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/dit_fused_distributed_rmsnorm_program_factory.cpp:1221,"Existing fixture opens a 4x8 Galaxy mesh (32 devices), then a TP1/TP2 submesh."
DF006,dataflow,ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/kernels/dataflow/dit_rmsnorm_fused_writer.cpp,selected,SM071,galaxy,models/tt_dit/tests/unit/test_distributed_rmsnorm_fused.py::test_corr_det[{arch}-wan_tp1],models/tt_dit/tests/unit/test_distributed_rmsnorm_fused.py:560,F034,"WAN whole-row RMSNorm, TP=1, prompt length512, width5120. TP1 uses the drain-only writer; TP2 uses the all-gather worker writer.",ttnn/cpp/ttnn/operations/experimental/ccl/dit_fused_distributed_rmsnorm/device/dit_fused_distributed_rmsnorm_program_factory.cpp:1179,"Existing fixture opens a 4x8 Galaxy mesh (32 devices), then a TP1/TP2 submesh."
DF007,dataflow,ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/kernels/dataflow/rms_writer.cpp,selected,SM069,wormhole-n300,tests/ttnn/unit_tests/operations/ccl/test_minimals.py::test_rms_fuse_n300[silicon_arch_name={arch}-topology=Topology.Linear-device_params={'fabric_config': FabricConfig.FABRIC_1D}-output_dtype=DataType.BFLOAT16-residual_dtype=DataType.BFLOAT16-input_dtype=DataType.BFLOAT16-2x1_grid-use_noc1_only=False-fused_add=False-num_iters=5-num_links=1-fp32_dest_acc_en=False-num_devices=2-elements_per_batch=2048-input_shard_grid={[0-0 - 3-7]}-output_shard_grid=None],tests/ttnn/unit_tests/operations/ccl/test_minimals.py:1002,F035,"Fused RMS all-gather on N300, two devices, BF16, no residual add; smallest existing numeric case.",ttnn/cpp/ttnn/operations/experimental/ccl/rms_allgather/device/rms_allgather_program_factory.cpp:797,"Exactly two Wormhole devices (N300), 2x1 fabric mesh."
DF008,dataflow,ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/kernels/dataflow/reader_attn_res_gather_softmax.cpp,selected,SM070,blackhole-2x4,tests/ttnn/unit_tests/operations/experimental/test_attn_res_gather_softmax.py::test_matches_torch[silicon_arch_name={arch}-plain-fabric2d-mesh-2x4],tests/ttnn/unit_tests/operations/experimental/test_attn_res_gather_softmax.py:110,F036,"Plain AttnRes read, the smallest existing 2x4 fabric arm; 640 tokens per chip.",ttnn/cpp/ttnn/operations/experimental/deepseek_prefill/attn_res_gather_softmax/device/attn_res_gather_softmax_program_factory.cpp:346,"Exactly eight Blackhole devices, 2x4 physical box with 2D fabric."
DF009,dataflow,ttnn/cpp/ttnn/operations/experimental/indexer_score/device/kernels/reader_indexer_score.cpp,selected,SM050,blackhole,tests/ttnn/nightly/unit_tests/operations/experimental/indexer_score/test_indexer_score.py::test_indexer_score_block_pool_large_blocks_per_unit[g1-bpu16],tests/ttnn/nightly/unit_tests/operations/experimental/indexer_score/test_indexer_score.py:1759,F040; F041,"Indexer block-pool fallback, one group and 16 blocks per unit (>8), reaches the reduce-helper branch.",ttnn/cpp/ttnn/operations/experimental/indexer_score/device/indexer_score_program_factory.cpp:364; ttnn/cpp/ttnn/operations/experimental/indexer_score/device/ring_indexer_score_dsa_program_factory.cpp:459,One Blackhole device.
DF010,dataflow,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/kernels/dataflow/reader_sigmoid_gated_rms_norm.cpp,selected,SM052,blackhole,tests/ttnn/nightly/unit_tests/operations/experimental/kda/test_sigmoid_gated_rms_norm.py::test_sigmoid_gated_rms_norm_is_accurate_and_deterministic[bf16-output-bf16-input],tests/ttnn/nightly/unit_tests/operations/experimental/kda/test_sigmoid_gated_rms_norm.py:289,F043,Basic BF16 gated RMSNorm numerical case.,ttnn/cpp/ttnn/operations/experimental/kda/sigmoid_gated_rms_norm/device/sigmoid_gated_rms_norm_program_factory.cpp:97,One Blackhole device.
