dataflow_kernel_id,kernel_path,helper_source_path,helper_call_ids,host_id,host_path,host_line,relationship
DF055,ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned.cpp,ttnn/cpp/ttnn/operations/reduction/generic/device/kernels/dataflow/reader_unary_transpose_wh_universal_input_cols_partitioned.cpp,D082,DH011,ttnn/cpp/ttnn/operations/reduction/generic/device/welford_reduce_program_factory.cpp,315,exact path
DF056,ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/dataflow/writer_unary_interleaved.cpp,ttnn/cpp/ttnn/operations/reduction/moe/device/kernels/dataflow/writer_unary_interleaved.cpp,D083,F101,ttnn/cpp/ttnn/operations/reduction/moe/device/moe_program_factory.cpp,257,exact path
DF057,ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/dataflow/writer_interleaved.cpp,ttnn/cpp/ttnn/operations/reduction/sampling/device/kernels/dataflow/writer_interleaved.cpp,D084; D085,F102,ttnn/cpp/ttnn/operations/reduction/sampling/device/sampling_program_factory.cpp,30,exact path
DF058,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/exp_ring_joint_writer.cpp,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/exp_ring_joint_writer.cpp,D086,DH012,ttnn/cpp/ttnn/operations/transformer/sdpa/device/exp_ring_joint_sdpa_program_factory.cpp,1519,exact path
DF058,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/exp_ring_joint_writer.cpp,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/exp_ring_joint_writer.cpp,D086,DH012,ttnn/cpp/ttnn/operations/transformer/sdpa/device/exp_ring_joint_sdpa_program_factory.cpp,1548,exact path
DF059,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/joint_writer.cpp,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/joint_writer.cpp,D087,DH013,ttnn/cpp/ttnn/operations/transformer/sdpa/device/joint_sdpa_program_factory.cpp,572,exact path
DF060,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/ring_joint_writer.cpp,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/ring_joint_writer.cpp,D088,DH015,ttnn/cpp/ttnn/operations/transformer/sdpa/device/ring_joint_sdpa_program_factory.cpp,2637,exact path
DF061,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/sparse_sdpa_msa_writer.cpp,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/sparse_sdpa_msa_writer.cpp,D089,DH017,ttnn/cpp/ttnn/operations/transformer/sdpa/device/sparse_sdpa_msa_program_factory.cpp,244,path fragment (reviewed separately)
DF062,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/sparse_sdpa_writer.cpp,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/sparse_sdpa_writer.cpp,D090,DH018,ttnn/cpp/ttnn/operations/transformer/sdpa/device/sparse_sdpa_program_factory.cpp,273,path fragment (reviewed separately)
DF063,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/writer_interleaved.cpp,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/writer_interleaved.cpp,D091,DH014,ttnn/cpp/ttnn/operations/transformer/sdpa/device/ring_distributed_sdpa_program_factory.cpp,499,exact path
DF063,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/writer_interleaved.cpp,ttnn/cpp/ttnn/operations/transformer/sdpa/device/kernels/dataflow/writer_interleaved.cpp,D091,DH016,ttnn/cpp/ttnn/operations/transformer/sdpa/device/sdpa_program_factory.cpp,1429,exact path
DF064,ttnn/cpp/ttnn/operations/transformer/sdpa_decode/device/kernels/dataflow/writer_decode_all.cpp,ttnn/cpp/ttnn/operations/transformer/sdpa_decode/device/kernels/dataflow/writer_decode_all.cpp,D092,DH019,ttnn/cpp/ttnn/operations/transformer/sdpa_decode/device/sdpa_decode_program_factory.cpp,804,path fragment (reviewed separately)
DF065,ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py,ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py,D093,F111,ttnn/ttnn/operations/examples/compute_fusion/program_descriptor_with_inline_kernels.py,384,Inline dataflow kernel bound by Python factory
DF066,ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py,ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py,D094; D095; D096,F112,ttnn/ttnn/operations/examples/reduce_accumulate/program_descriptor_with_inline_kernels.py,317,Inline dataflow kernel bound by Python factory
DF067,ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py,ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py,D097,F114,ttnn/ttnn/operations/examples/row_reduce_accumulate/program_descriptor_with_inline_kernels.py,397,Inline dataflow kernel bound by Python factory
DF068,ttnn/ttnn/operations/toy_variance/kernels/reader.cpp,ttnn/ttnn/operations/toy_variance/kernels/reader.cpp,D098; D099,F116,ttnn/ttnn/operations/toy_variance/toy_variance_program_artifacts.py,169,path fragment (reviewed separately)
DF069,ttnn/ttnn/operations/toy_variance/kernels/sharded_reader.cpp,ttnn/ttnn/operations/toy_variance/kernels/sharded_reader.cpp,D100,F117,ttnn/ttnn/operations/toy_variance/toy_variance_sharded_program_artifacts.py,198,path fragment (reviewed separately)
