call_id,source_path,line,end_line,api,template_arguments,arguments,source_expression
D050,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_unary_interleaved_ln_large_tensor.cpp,113,117,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",partial_last_tile_cols,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
                dfb::scaler,
                ckernel::PoolType::SUM,
                ckernel::ReduceDim::REDUCE_ROW,
                dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>(partial_last_tile_cols)"
D051,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_unary_interleaved_ln_rm_gb.cpp,79,83,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
            dfb::scaler,
            ckernel::PoolType::SUM,
            ckernel::ReduceDim::REDUCE_ROW,
            dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
D052,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_unary_interleaved_ln_rm_gb.cpp,88,92,calculate_and_prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",partial_last_tile_cols,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
                dfb::scaler,
                ckernel::PoolType::SUM,
                ckernel::ReduceDim::REDUCE_ROW,
                dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>(partial_last_tile_cols)"
D053,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln.cpp,65,66,prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",scalar_w_f,"dataflow_kernel_lib::prepare_reduce_scaler<dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>(
            scalar_w_f)"
D054,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln.cpp,80,81,prepare_reduce_scaler,"dfb::scaler_global, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW",scalar_c_f,"prepare_reduce_scaler<dfb::scaler_global, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW>(
                    scalar_c_f)"
D055,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_pre_all_gather.cpp,18,19,prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",scalar_w_f,"dataflow_kernel_lib::prepare_reduce_scaler<dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>(
        scalar_w_f)"
D056,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_pre_all_gather.cpp,35,36,prepare_reduce_scaler,"dfb::scaler_global, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",scalar_c_f,"prepare_reduce_scaler<dfb::scaler_global, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>(
                scalar_c_f)"
D057,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_rm_gb.cpp,68,69,prepare_reduce_scaler,"dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW",scalar_w_f,"dataflow_kernel_lib::prepare_reduce_scaler<dfb::scaler, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW>(
            scalar_w_f)"
D058,ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_rm_gb.cpp,83,84,prepare_reduce_scaler,"dfb::scaler_global, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW",scalar_c_f,"prepare_reduce_scaler<dfb::scaler_global, ckernel::PoolType::AVG, ckernel::ReduceDim::REDUCE_ROW>(
                    scalar_c_f)"
D059,ttnn/cpp/ttnn/operations/normalization/layernorm_distributed/device/kernels/dataflow/reader_layernorm_preallgather_2d.cpp,58,62,calculate_and_prepare_reduce_scaler,"dfb::reduce, ckernel::PoolType::SUM, ckernel::ReduceDim::REDUCE_ROW, dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR",,"dataflow_kernel_lib::calculate_and_prepare_reduce_scaler<
        dfb::reduce,
        ckernel::PoolType::SUM,
        ckernel::ReduceDim::REDUCE_ROW,
        dataflow_kernel_lib::SUM_AND_MAX_REDUCE_FACTOR>()"
