Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'PERF_PREFILL'.
Using operations until 'PERF_PREFILL_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID   Total %  Bound  OP Code                                   Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
630    0.2 %         SliceDeviceOperation                            0         1 μs         16 μs     32                                                       BF16 => BF16
631    0.1 %         SliceDeviceOperation                            0         1 μs         10 μs     32                                                       BF16 => BF16
632    0.1 %         TypecastDeviceOperation                         0         1 μs          6 μs     32                                                       BF16 => BFP8
633    0.1 %         TypecastDeviceOperation                         0         1 μs          5 μs     32                                                       BF16 => BFP8
634    0.1 %         UpdateKVCacheOperation                          0         4 μs          3 μs      4                                                 BFP8, BFP8 => BFP8
635    0.1 %         UpdateKVCacheOperation                          0         4 μs          1 μs      4                                                 BFP8, BFP8 => BFP8
636    1.3 %         SDPAOperation                                   0        64 μs         35 μs     64                                                 BF16, BF16 => BF16
637    0.6 %         NLPConcatHeadsDeviceOperation                   0        45 μs          1 μs     32                                                       BF16 => BF16
638    1.2 %         ReshapeViewDeviceOperation                      0        91 μs          0 μs    110                                                       BF16 => BF16
639    0.7 %   SLOW  MatmulDeviceOperation 544 x 3072 x 3072         0        54 μs          1 μs     99  211 GB/s  41.3 %  190.3 TFLOPs   34.8 %  LoFi BF16 x BFP4 => BF16
640    0.3 %         BinaryNgDeviceOperation                         0        23 μs          1 μs    110                                                 BF16, BF16 => BF16
641    0.4 %         LayerNormDeviceOperation                        0        31 μs          0 μs     17                                                 BF16, BF16 => BF16
642    4.5 %   SLOW  MatmulDeviceOperation 544 x 3072 x 23040        0       336 μs          1 μs     99  190 GB/s  37.1 %  229.5 TFLOPs   41.9 %  LoFi BF16 x BFP4 => BF16
643    4.5 %   SLOW  MatmulDeviceOperation 544 x 3072 x 23040        0       335 μs          1 μs     99  190 GB/s  37.2 %  229.9 TFLOPs   42.0 %  LoFi BF16 x BFP4 => BF16
644    2.7 %         BinaryNgDeviceOperation                         0       199 μs          1 μs    110                                                 BF16, BF16 => BF16
645    4.3 %   SLOW  MatmulDeviceOperation 544 x 23040 x 3072        0       321 μs          0 μs     99  199 GB/s  38.8 %  239.7 TFLOPs   43.8 %  LoFi BF16 x BFP4 => BF16
646    0.3 %         BinaryNgDeviceOperation                         0        23 μs          1 μs    110                                                 BF16, BF16 => BF16
647    1.5 %         ReshapeViewDeviceOperation                      0       111 μs          1 μs    110                                                       BF16 => BF16
648    2.0 %         ReshapeViewDeviceOperation                      0        91 μs         58 μs    110                                                       BF16 => BF16
649    0.4 %         LayerNormDeviceOperation                        0        31 μs          1 μs     17                                                 BF16, BF16 => BF16
650    1.1 %   SLOW  MatmulDeviceOperation 544 x 3072 x 5120         0        84 μs          1 μs     99  199 GB/s  38.8 %  202.8 TFLOPs   37.0 %  LoFi BF16 x BFP4 => BF16
