Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Warning: 'HOST START TS' column not found. CSV will not be sorted.
Using operations after 'MULTICHIP_PREFILL'.
Using operations until 'MULTICHIP_PREFILL_END'.
Detected data from 4 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                  Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1582    0.2 %         SliceDeviceOperation                           0         1 μs         14 μs      8                                                       BF16 => BF16
 1583    0.2 %         TypecastDeviceOperation                        3         1 μs         15 μs      8                                                       BF16 => BFP8
 1589    0.1 %         UpdateKVCacheOperation                         1         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1591    0.1 %         TypecastDeviceOperation                        3         1 μs          7 μs      8                                                       BF16 => BFP8
 1596    0.1 %         UpdateKVCacheOperation                         2         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1600    0.2 %         SliceDeviceOperation                           2         1 μs         15 μs      8                                                       BF16 => BF16
 1603    0.2 %         SliceDeviceOperation                           3         1 μs         13 μs      8                                                       BF16 => BF16
 1607    0.1 %         TypecastDeviceOperation                        3         1 μs         10 μs      8                                                       BF16 => BFP8
 1614    0.1 %         UpdateKVCacheOperation                         0         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1617    0.1 %         TypecastDeviceOperation                        1         1 μs          9 μs      8                                                       BF16 => BFP8
 1620    0.1 %         UpdateKVCacheOperation                         2         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1624    0.2 %         SliceDeviceOperation                           2         1 μs         15 μs      8                                                       BF16 => BF16
 1627    0.2 %         SliceDeviceOperation                           3         1 μs         13 μs      8                                                       BF16 => BF16
 1632    0.1 %         TypecastDeviceOperation                        2         1 μs         10 μs      8                                                       BF16 => BFP8
 1638    0.1 %         UpdateKVCacheOperation                         0         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1639    0.1 %         TypecastDeviceOperation                        3         1 μs          7 μs      8                                                       BF16 => BFP8
 1644    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1648    0.2 %         SliceDeviceOperation                           2         1 μs         15 μs      8                                                       BF16 => BF16
 1651    0.2 %         SliceDeviceOperation                           3         1 μs         13 μs      8                                                       BF16 => BF16
 1657    0.2 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1661    0.1 %         UpdateKVCacheOperation                         1         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1665    0.1 %         TypecastDeviceOperation                        1         1 μs          8 μs      8                                                       BF16 => BFP8
 1669    0.1 %         UpdateKVCacheOperation                         1         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1672    0.2 %         SliceDeviceOperation                           2         1 μs         15 μs      8                                                       BF16 => BF16
 1676    0.2 %         SliceDeviceOperation                           2         1 μs         13 μs      8                                                       BF16 => BF16
 1680    0.1 %         TypecastDeviceOperation                        2         1 μs         10 μs      8                                                       BF16 => BFP8
 1683    0.2 %         UpdateKVCacheOperation                         3         4 μs          8 μs      1                                                 BFP8, BFP8 => BFP8
 1688    0.1 %         TypecastDeviceOperation                        2         1 μs          7 μs      8                                                       BF16 => BFP8
 1691    0.1 %         UpdateKVCacheOperation                         3         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1697    0.2 %         SliceDeviceOperation                           1         1 μs         15 μs      8                                                       BF16 => BF16
 1701    0.2 %         SliceDeviceOperation                           1         1 μs         12 μs      8                                                       BF16 => BF16
 1703    0.2 %         TypecastDeviceOperation                        3         1 μs         11 μs      8                                                       BF16 => BFP8
 1709    0.1 %         UpdateKVCacheOperation                         1         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1714    0.1 %         TypecastDeviceOperation                        0         1 μs          7 μs      8                                                       BF16 => BFP8
 1715    0.1 %         UpdateKVCacheOperation                         3         4 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1720    0.8 %         SDPAOperation                                  2        21 μs         38 μs     64                                                 BF16, BF16 => BF16
 1723    0.3 %         NLPConcatHeadsDeviceOperation                  3        14 μs         11 μs     32                                                       BF16 => BF16
 1728    0.7 %         ReshapeViewDeviceOperation                     2        30 μs         22 μs    110                                                       BF16 => BF16
 1733    0.7 %   SLOW  MatmulDeviceOperation 544 x 768 x 3072         1        25 μs         33 μs     99  214 GB/s  41.8 %  102.5 TFLOPs   18.7 %  LoFi BF16 x BFP4 => BF16
 1735    3.7 %         ReduceScatterDeviceOperation                   0        65 μs        225 μs     12                                                       BF16 => BF16
 1739    1.3 %         AllGatherDeviceOperation                       0        45 μs         56 μs     20                                                       BF16 => BF16
 1746    1.0 %         BinaryNgDeviceOperation                        0        23 μs         55 μs    110                                                 BF16, BF16 => BF16
 1747    1.0 %         LayerNormDeviceOperation                       3        31 μs         48 μs     17                                                 BF16, BF16 => BF16
 1754    1.5 %   SLOW  MatmulDeviceOperation 544 x 3072 x 6144        0        99 μs         21 μs     99  196 GB/s  38.3 %  207.1 TFLOPs   37.8 %  LoFi BF16 x BFP4 => BF16
 1755    1.3 %   SLOW  MatmulDeviceOperation 544 x 3072 x 6144        3        99 μs          1 μs     99  196 GB/s  38.3 %  206.8 TFLOPs   37.8 %  LoFi BF16 x BFP4 => BF16
 1760    0.7 %         BinaryNgDeviceOperation                        2        55 μs          1 μs    110                                                 BF16, BF16 => BF16
 1764    1.3 %   SLOW  MatmulDeviceOperation 544 x 6144 x 3072        2        98 μs          1 μs     99  199 GB/s  38.9 %  210.3 TFLOPs   38.4 %  LoFi BF16 x BFP4 => BF16
 1767    0.8 %         ReduceScatterDeviceOperation                   0        61 μs          1 μs     12                                                       BF16 => BF16
 1771    0.6 %         AllGatherDeviceOperation                       0        45 μs          0 μs     20                                                       BF16 => BF16
 1777    0.3 %         BinaryNgDeviceOperation                        1        23 μs          0 μs    110                                                 BF16, BF16 => BF16
 1779    1.4 %         ReshapeViewDeviceOperation                     3       112 μs          1 μs    110                                                       BF16 => BF16
 1783    1.9 %         ReshapeViewDeviceOperation                     3        93 μs         59 μs    110                                                       BF16 => BF16
 1788    0.4 %         LayerNormDeviceOperation                       2        31 μs          1 μs     17                                                 BF16, BF16 => BF16
 1793    0.4 %   SLOW  MatmulDeviceOperation 544 x 3072 x 1280        1        30 μs          1 μs     90  222 GB/s  43.5 %  142.0 TFLOPs   28.5 %  LoFi BF16 x BFP4 => BF16
 1795    0.6 %         ReshapeViewDeviceOperation                     3        49 μs          1 μs    110                                                       BF16 => BF16
 1802    0.3 %         NlpCreateHeadsDeviceOperation                  0        20 μs          1 μs     32                                                       BF16 => BF16
 1805    0.0 %         SliceDeviceOperation                           1         2 μs          1 μs      8                                                       BF16 => BF16
 1809    0.0 %         SliceDeviceOperation                           1         2 μs          1 μs      8                                                       BF16 => BF16
 1813    0.3 %         RotaryEmbeddingDeviceOperation                 1        20 μs          0 μs     32                                                 BF16, BF16 => BF16
 1815    0.5 %         RotaryEmbeddingDeviceOperation                 3        41 μs          0 μs     96                                                 BF16, BF16 => BF16
 1822    0.0 %         SliceDeviceOperation                           0         3 μs          0 μs    110                                                       BF16 => BF16
 1824    0.1 %         SliceDeviceOperation                           2         9 μs          0 μs    110                                                       BF16 => BF16
 1829    0.0 %         SliceDeviceOperation                           1         1 μs          1 μs      8                                                       BF16 => BF16
 1831    0.1 %         SliceDeviceOperation                           3         1 μs          6 μs      8                                                       BF16 => BF16
 1837    0.2 %         TypecastDeviceOperation                        1         1 μs         16 μs      8                                                       BF16 => BFP8
 1840    0.2 %         UpdateKVCacheOperation                         2         4 μs         14 μs      1                                                 BFP8, BFP8 => BFP8
 1845    0.2 %         TypecastDeviceOperation                        1         1 μs         11 μs      8                                                       BF16 => BFP8
 1848    0.1 %         UpdateKVCacheOperation                         2         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1851    0.2 %         SliceDeviceOperation                           3         1 μs         11 μs      8                                                       BF16 => BF16
 1857    0.2 %         SliceDeviceOperation                           1         1 μs         12 μs      8                                                       BF16 => BF16
 1861    0.2 %         TypecastDeviceOperation                        1         1 μs         15 μs      8                                                       BF16 => BFP8
 1866    0.1 %         UpdateKVCacheOperation                         0         4 μs          7 μs      1                                                 BFP8, BFP8 => BFP8
 1870    0.1 %         TypecastDeviceOperation                        0         1 μs          7 μs      8                                                       BF16 => BFP8
 1874    0.1 %         UpdateKVCacheOperation                         0         3 μs          6 μs      1                                                 BFP8, BFP8 => BFP8
 1875    0.1 %         SliceDeviceOperation                           3         1 μs          9 μs      8                                                       BF16 => BF16
 1882    0.2 %         SliceDeviceOperation                           0         1 μs         16 μs      8                                                       BF16 => BF16
