# PROVENANCE: blackhole p100a, 110 worker cores, 1.35 GHz, firmware bundle 19.9.0; tt-metal main 2dbd14bf632; 2026-09-12 multipass perf counter capture (5 passes over the counter groups fpu, instrn, unpack, pack and l1_0 to l1_4; 10 top-k cells), reduced 2026-09-16 by analysis/topk_counters_reduce.py. fraction_of_ref_cnt = counter value over that record's own ref cnt on the same core, median over the participating cores then over the two timed invocations (three warm-ups discarded). The composite cell COUNTERS-289 is excluded from any reading: its second and third ops report an unusable ref cnt (tenstorrent/tt-metal#56791).
cell,op,counter,fraction_of_ref_cnt,n_samples
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,PACKER_BUSY,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,PACKER_DEST_READ_AVAILABLE,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,PACK_INSTRN_AVAILABLE_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,PACK_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,PACK_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SFPU_COUNTER,0.461,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCA_WRITE_ACTUAL,0.0037,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCA_WRITE_AVAILABLE,0.0037,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCA_WRITE_NOT_BLOCKED_OVR,0.0037,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCA_WRITE_THREAD0,0.0037,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCA_WRITE_THREAD1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCB_WRITE_ACTUAL,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCB_WRITE_AVAILABLE,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCB_WRITE_NOT_BLOCKED_PORT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCB_WRITE_THREAD0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SRCB_WRITE_THREAD1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SYNC_INSTRN_AVAILABLE_0,0.0033,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SYNC_INSTRN_AVAILABLE_1,0.0051,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,SYNC_INSTRN_AVAILABLE_2,0.0002,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,THCON_INSTRN_AVAILABLE_0,0.0019,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,THCON_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,THCON_INSTRN_AVAILABLE_2,0.0003,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,THREAD_INSTRUCTIONS_0,0.0155,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,THREAD_INSTRUCTIONS_1,0.693,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,THREAD_INSTRUCTIONS_2,0.0012,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,THREAD_STALLS_0,0.9207,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,THREAD_STALLS_1,0.0063,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,THREAD_STALLS_2,0.9946,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,UNPACK0_BUSY_THREAD0,0.9539,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,UNPACK0_BUSY_THREAD1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,UNPACK1_BUSY_THREAD0,0.9483,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,UNPACK1_BUSY_THREAD1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,UNPACK_INSTRN_AVAILABLE_0,0.0065,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,UNPACK_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,UNPACK_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_MATH_IDLE_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_MATH_IDLE_1,0.0068,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_MATH_IDLE_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_MMIO_IDLE_0,0.0005,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_MMIO_IDLE_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_MMIO_IDLE_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_MOVE_IDLE_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_MOVE_IDLE_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_MOVE_IDLE_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_NONFULL_SEM_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_NONFULL_SEM_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_NONFULL_SEM_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_NONZERO_SEM_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_NONZERO_SEM_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_NONZERO_SEM_2,0.9947,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_PACK_IDLE_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_PACK_IDLE_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_PACK_IDLE_2,0.0001,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_SFPU_IDLE_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_SFPU_IDLE_1,0.0051,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_SFPU_IDLE_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_SRCA_CLEAR,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_SRCA_VALID,0.0028,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_SRCB_CLEAR,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_SRCB_VALID,0.0028,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_THCON_IDLE_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_THCON_IDLE_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_THCON_IDLE_2,0.0001,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_UNPACK_IDLE_0,0.9203,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_UNPACK_IDLE_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,WAITING_FOR_UNPACK_IDLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,ANY_THREAD_STALL,0.9961,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,AVAILABLE_MATH,0.1557,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,CFG_INSTRN_AVAILABLE_0,0.0011,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,CFG_INSTRN_AVAILABLE_1,0.0317,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,CFG_INSTRN_AVAILABLE_2,0.0003,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,DATA_HAZARD_STALLS_MOVD2A,0.12,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,DEST_READ_GRANTED_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,FPU_COUNTER,0.0971,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,FPU_INSTRN_AVAILABLE_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,FPU_INSTRN_AVAILABLE_1,0.1731,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,FPU_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_NOC_RING0_INCOMING_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_NOC_RING0_INCOMING_0_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_NOC_RING0_INCOMING_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_NOC_RING0_INCOMING_1_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_NOC_RING0_OUTGOING_0,0.0054,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_NOC_RING0_OUTGOING_0_GRANT,0.0054,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_NOC_RING0_OUTGOING_1,0.0054,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_NOC_RING0_OUTGOING_1_GRANT,0.0054,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_PORT1_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_TDMA_BUNDLE_0_GRANT,0.0267,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_TDMA_BUNDLE_0_RISC,0.0271,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_TDMA_BUNDLE_1_GRANT,0.0895,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_TDMA_BUNDLE_1_TRISC,0.0896,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_UNPACKER_0,0.0027,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_UNPACKER_0_GRANT,0.0027,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_0_UNPACKER_1_ECC,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_EXT_UNPACKER_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_EXT_UNPACKER_1_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_EXT_UNPACKER_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_EXT_UNPACKER_2_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_EXT_UNPACKER_3,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_EXT_UNPACKER_3_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_0_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_1_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_1_NOC_RING1_OUTGOING_0,0.0,2
